Sample	Marker	Rank	Size	SeqID	QueryID	Sequence
203_A	tef	1	222	Uniq1	203_A|Uniq1;size=222	b8a6940aac72115456e202f1a2c53f1e
203_A	tef	2	193	Uniq2	203_A|Uniq2;size=193	87aa07269871564b5b0d1e6e62a9e31d
204_B	tef	1	2191	Uniq1	204_B|Uniq1;size=2191	e745816894265cfe92246f201559faee
204_B	tef	2	1832	Uniq2	204_B|Uniq2;size=1832	5131b840aeff7295164e226d87c39146
205_A	tef	1	5300	Uniq1	205_A|Uniq1;size=5300	e7729a069f67d7993e3e189407a8a604
205_A	tef	2	4325	Uniq2	205_A|Uniq2;size=4325	42dd671a5837f427a21c2c04ac36a80a
206_A	tef	1	3	Uniq1	206_A|Uniq1;size=3	3521448174459fec1b5d63c34dd96f92
206_A	tef	2	1	Uniq2	206_A|Uniq2;size=1	f48d0eeeda0d4cc9286bdd9057b624e5
203_A	ssu	1	16600	Uniq1	203_A|Uniq1;size=16600	cf31270fbc5f9a65a1569bf31f7c63a1
203_A	ssu	2	8420	Uniq2	203_A|Uniq2;size=8420	4e0fb761c1dd7e141aef634e67c36716
204_B	ssu	1	9510	Uniq1	204_B|Uniq1;size=9510	99e3f5c82ad3ef8d8d9dca29a853e630
204_B	ssu	2	4928	Uniq2	204_B|Uniq2;size=4928	27aea6ed4ad522ef3743b72c3a450825
205_A	ssu	1	11451	Uniq1	205_A|Uniq1;size=11451	8e900bffb2db76fbe69fc92769b4db07
205_A	ssu	2	5826	Uniq2	205_A|Uniq2;size=5826	588e642f8dca1a628d37448769803935
206_A	ssu	1	2823	Uniq1	206_A|Uniq1;size=2823	d56ce840039271313f2b04b13a29c57a
206_A	ssu	2	1432	Uniq2	206_A|Uniq2;size=1432	403aeb783c0f17adc2685ac6c676c9ad
203_A	lsu	1	1	Uniq10	203_A|Uniq10;size=1	493c83f9bd22240ba5c2cc1e434a6dcf
203_A	lsu	2	1	Uniq11	203_A|Uniq11;size=1	d2d349c4ced71004896a3127f2713d21
204_B	lsu	1	9	Uniq1	204_B|Uniq1;size=9	b8af1989d06c3fdf7ff2aed690e86b65
204_B	lsu	2	4	Uniq2	204_B|Uniq2;size=4	a974b5dc2a87f69470a8aa6a30a34bbd
205_A	lsu	1	40	Uniq1	205_A|Uniq1;size=40	d78d68778a016ac97ca450a1a06bb820
205_A	lsu	2	19	Uniq2	205_A|Uniq2;size=19	601d8dc795fa44fffea64477de148871
206_A	lsu	1	30	Uniq1	206_A|Uniq1;size=30	827c6dfb39e49e45067ad3ff0dad08a0
206_A	lsu	2	27	Uniq2	206_A|Uniq2;size=27	ffef802da5e9f7358ac1df878a44cb21
203_A	its	1	2355	Uniq1	203_A|Uniq1;size=2355	b46084e7b4c3e4ab21b979eddf4b9a53
203_A	its	2	1254	Uniq2	203_A|Uniq2;size=1254	8459f745262336943bcb8cb2597def0a
204_B	its	1	16989	Uniq1	204_B|Uniq1;size=16989	1101dd4eceacbbdb05f63dbda86c4634
204_B	its	2	2963	Uniq2	204_B|Uniq2;size=2963	1ee4c80ad3a9050797cb6c8149dfce9b
205_A	its	1	326	Uniq1	205_A|Uniq1;size=326	41bcaa587a559a7c042443a278ec68ce
205_A	its	2	129	Uniq2	205_A|Uniq2;size=129	c38d601c09a1a6a3c5f7d8554f7779ba
206_A	its	1	1380	Uniq1	206_A|Uniq1;size=1380	e51b7651599e3b59d0000db616b586a6
206_A	its	2	55	Uniq2	206_A|Uniq2;size=55	23681c2f127767006fb2c1316ce74a3f
