Sample	Step	Num_Seqs	Min_Len	Avg_Len	Max_Len
203_A	QC	151453	40	248.6	301
203_A	TEF	1080	155	247.4	294
203_A	SSU	59988	183	278.0	303
203_A	LSU	15	218	272.3	292
203_A	ITS	20918	191	325.1	517
204_B	QC	132797	34	291.5	301
204_B	TEF	8360	166	248.0	294
204_B	SSU	35285	186	277.9	306
204_B	LSU	30	151	170.2	286
204_B	ITS	44206	167	297.0	373
205_A	QC	87508	34	288.5	301
205_A	TEF	18654	152	248.3	358
205_A	SSU	32233	183	277.9	304
205_A	LSU	134	200	286.4	294
205_A	ITS	1739	177	280.9	361
206_A	QC	58598	42	275.8	301
206_A	TEF	7	248	248.0	248
206_A	SSU	9335	267	277.8	281
206_A	LSU	176	279	279.8	281
206_A	ITS	3211	221	299.6	302
Total	TEF_Consensuses	8	248	248.0	248
Total	SSU_Consensuses	8	278	278.0	278
Total	LSU_Consensuses	8	152	243.6	291
Total	ITS_Consensuses	8	222	293.3	364
