203_A|ITS2_350bp_U001_U001|consensus_cl_id_12_total_supporting_reads_37	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria sp.
203_A|ITS2_350bp_U001_U001|consensus_cl_id_4_total_supporting_reads_105	Eukaryota	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula mucilaginosa
203_A|ITS2_350bp_U001_U001|consensus_cl_id_46_total_supporting_reads_111	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		uncultured Didymella
203_A|LSU_308bp_U001_U001|consensus_cl_id_10_total_supporting_reads_90	Eukaryota						soil fungal sp. DM252
203_A|LSU_308bp_U001_U001|consensus_cl_id_4_total_supporting_reads_94	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium phlei
203_A|LSU_308bp_U001_U001|consensus_cl_id_5_total_supporting_reads_143	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neoascochyta	Neoascochyta exitialis
203_A|RPB1_320bp_U001_U001|consensus_cl_id_0_total_supporting_reads_398	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps melolonthae
203_A|TEF_268bp_U001_U001|consensus_cl_id_0_total_supporting_reads_325	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps melolonthae
204_B|ITS2_350bp_U001_U002|consensus_cl_id_2_total_supporting_reads_499	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps neonutans
204_B|LSU_308bp_U001_U002|consensus_cl_id_0_total_supporting_reads_499	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps nutans
204_B|RPB1_320bp_U001_U002|consensus_cl_id_0_total_supporting_reads_344	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps forquignonii
204_B|TEF_268bp_U001_U002|consensus_cl_id_2_total_supporting_reads_461	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Arxotrichum	Arxotrichum wyomingense
205_A|ITS2_350bp_U001_U003|consensus_cl_id_3_total_supporting_reads_499	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps nutans
205_A|LSU_308bp_U001_U003|consensus_cl_id_4_total_supporting_reads_498	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps nutans
205_A|RPB1_320bp_U001_U003|consensus_cl_id_2_total_supporting_reads_497	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps nutans
205_A|TEF_268bp_U001_U003|consensus_cl_id_5_total_supporting_reads_478	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps nutans
206_A|ITS2_350bp_U001_U004|consensus_cl_id_2_total_supporting_reads_499	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps sp.
206_A|LSU_308bp_U001_U004|consensus_cl_id_1_total_supporting_reads_499	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps sp. WB-2024c
NC_DNA|ITS2_350bp_U001_U007|consensus_cl_id_16_total_supporting_reads_24	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	Beauveria pseudobassiana
NC_DNA|ITS2_350bp_U001_U007|consensus_cl_id_4_total_supporting_reads_86	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis cinerea
NC_DNA|ITS2_350bp_U001_U007|consensus_cl_id_50_total_supporting_reads_14	Eukaryota	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Hyphopichia	Hyphopichia sp.
NC_DNA|LSU_308bp_U001_U007|consensus_cl_id_0_total_supporting_reads_80	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis paeoniae
NC_DNA|LSU_308bp_U001_U007|consensus_cl_id_24_total_supporting_reads_18	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium phlei
PC_Beauveria|ITS2_350bp_U001_U005|consensus_cl_id_13_total_supporting_reads_500	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	Beauveria bassiana
PC_Beauveria|RPB1_320bp_U001_U005|consensus_cl_id_1_total_supporting_reads_499	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	Beauveria bassiana
PC_Beauveria|TEF_268bp_U001_U005|consensus_cl_id_41_total_supporting_reads_409	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	Beauveria bassiana
