Sample	Marker	ID	Reads	AvgReadLength	IntendedLength	CoverageX
203_A	ITS2_350bp_U001_U001	1	37	318.1		
203_A	ITS2_350bp_U001_U001	2	105	318.1		
203_A	ITS2_350bp_U001_U001	3	111	318.1		
203_A	LSU_308bp_U001_U001	1	90	264.6		
203_A	LSU_308bp_U001_U001	2	94	264.6		
203_A	LSU_308bp_U001_U001	3	143	264.6		
203_A	TEF_268bp_U001_U001	1	325	210.0		
203_A	TEF_268bp_U001_U001	2	75	210.0		
203_A	RPB1_320bp_U001_U001	1	398	264.3		
204_B	ITS2_350bp_U001_U002	1	499	293.1		
204_B	LSU_308bp_U001_U002	1	499	274.9		
204_B	TEF_268bp_U001_U002	1	461	218.3		
204_B	RPB1_320bp_U001_U002	1	344	227.4		
204_B	RPB1_320bp_U001_U002	2	109	227.4		
205_A	ITS2_350bp_U001_U003	1	499	258.5		
205_A	LSU_308bp_U001_U003	1	498	265.0		
205_A	TEF_268bp_U001_U003	1	478	220.4		
205_A	RPB1_320bp_U001_U003	1	497	275.1		
206_A	ITS2_350bp_U001_U004	1	499	298.7		
206_A	LSU_308bp_U001_U004	1	499	276.7		
NC_DNA	ITS2_350bp_U001_U007	1	24	302.2		
NC_DNA	ITS2_350bp_U001_U007	2	86	302.2		
NC_DNA	ITS2_350bp_U001_U007	3	14	302.2		
NC_DNA	LSU_308bp_U001_U007	1	80	264.8		
NC_DNA	LSU_308bp_U001_U007	2	18	264.8		
PC_Beauveria	ITS2_350bp_U001_U005	1	500	304.8		
PC_Beauveria	TEF_268bp_U001_U005	1	409	217.4		
PC_Beauveria	RPB1_320bp_U001_U005	1	499	277.0		
