sample	file	reads
ALL_input	raw_input.fastq	499041
ALL_filtered	filtered_reads.fastq	395525
203_A	demuxed-203_A.fastq	13009
203_A_matched	ITS2_350bp_U001_U001.primermatched.fastq	378
203_A_amplicons	ITS2_350bp_U001_U001.amplicons.fastq	378
203_A	demuxed-203_A.fastq	13009
203_A_matched	SSU_305bp_U001_U001.primermatched.fastq	0
203_A	demuxed-203_A.fastq	13009
203_A_matched	LSU_308bp_U001_U001.primermatched.fastq	409
203_A_amplicons	LSU_308bp_U001_U001.amplicons.fastq	409
203_A	demuxed-203_A.fastq	13009
203_A_matched	TEF_268bp_U001_U001.primermatched.fastq	972
203_A_amplicons	TEF_268bp_U001_U001.amplicons.fastq	468
203_A	demuxed-203_A.fastq	13009
203_A_matched	RPB1_320bp_U001_U001.primermatched.fastq	497
203_A_amplicons	RPB1_320bp_U001_U001.amplicons.fastq	474
204_B	demuxed-204_B.fastq	14376
204_B_matched	ITS2_350bp_U001_U002.primermatched.fastq	2275
204_B_amplicons	ITS2_350bp_U001_U002.amplicons.fastq	2275
204_B	demuxed-204_B.fastq	14376
204_B_matched	SSU_305bp_U001_U002.primermatched.fastq	0
204_B	demuxed-204_B.fastq	14376
204_B_matched	LSU_308bp_U001_U002.primermatched.fastq	3004
204_B_amplicons	LSU_308bp_U001_U002.amplicons.fastq	3004
204_B	demuxed-204_B.fastq	14376
204_B_matched	TEF_268bp_U001_U002.primermatched.fastq	2443
204_B_amplicons	TEF_268bp_U001_U002.amplicons.fastq	2206
204_B	demuxed-204_B.fastq	14376
204_B_matched	RPB1_320bp_U001_U002.primermatched.fastq	695
204_B_amplicons	RPB1_320bp_U001_U002.amplicons.fastq	576
205_A	demuxed-205_A.fastq	21005
205_A_matched	ITS2_350bp_U001_U003.primermatched.fastq	2726
205_A_amplicons	ITS2_350bp_U001_U003.amplicons.fastq	2726
205_A	demuxed-205_A.fastq	21005
205_A_matched	SSU_305bp_U001_U003.primermatched.fastq	0
205_A	demuxed-205_A.fastq	21005
205_A_matched	LSU_308bp_U001_U003.primermatched.fastq	1791
205_A_amplicons	LSU_308bp_U001_U003.amplicons.fastq	1791
205_A	demuxed-205_A.fastq	21005
205_A_matched	TEF_268bp_U001_U003.primermatched.fastq	3494
205_A_amplicons	TEF_268bp_U001_U003.amplicons.fastq	3465
205_A	demuxed-205_A.fastq	21005
205_A_matched	RPB1_320bp_U001_U003.primermatched.fastq	5611
205_A_amplicons	RPB1_320bp_U001_U003.amplicons.fastq	5546
206_A	demuxed-206_A.fastq	5689
206_A_matched	ITS2_350bp_U001_U004.primermatched.fastq	2572
206_A_amplicons	ITS2_350bp_U001_U004.amplicons.fastq	2572
206_A	demuxed-206_A.fastq	5689
206_A_matched	SSU_305bp_U001_U004.primermatched.fastq	0
206_A	demuxed-206_A.fastq	5689
206_A_matched	LSU_308bp_U001_U004.primermatched.fastq	1606
206_A_amplicons	LSU_308bp_U001_U004.amplicons.fastq	1606
206_A	demuxed-206_A.fastq	5689
206_A_matched	TEF_268bp_U001_U004.primermatched.fastq	139
206_A_amplicons	TEF_268bp_U001_U004.amplicons.fastq	65
206_A	demuxed-206_A.fastq	5689
206_A_matched	RPB1_320bp_U001_U004.primermatched.fastq	21
206_A_amplicons	RPB1_320bp_U001_U004.amplicons.fastq	11
NC_DNA	demuxed-NC_DNA.fastq	341
NC_DNA_matched	ITS2_350bp_U001_U007.primermatched.fastq	146
NC_DNA_amplicons	ITS2_350bp_U001_U007.amplicons.fastq	146
NC_DNA	demuxed-NC_DNA.fastq	341
NC_DNA_matched	SSU_305bp_U001_U007.primermatched.fastq	0
NC_DNA	demuxed-NC_DNA.fastq	341
NC_DNA_matched	LSU_308bp_U001_U007.primermatched.fastq	106
NC_DNA_amplicons	LSU_308bp_U001_U007.amplicons.fastq	106
