sample	file	reads
ALL_input	raw_input.fastq	8418707
ALL_filtered	filtered_reads.fastq	7150235
203_A	demuxed-203_A.fastq	7150235
203_A_matched	ITS2_350bp_U001_U001.primermatched.fastq	67975
203_A_amplicons	ITS2_350bp_U001_U001.amplicons.fastq	67975
203_A	demuxed-203_A.fastq	7150235
203_A_matched	SSU_305bp_U001_U001.primermatched.fastq	359341
203_A_amplicons	SSU_305bp_U001_U001.amplicons.fastq	359341
203_A	demuxed-203_A.fastq	7150235
203_A_matched	LSU_308bp_U001_U001.primermatched.fastq	629355
203_A_amplicons	LSU_308bp_U001_U001.amplicons.fastq	629355
203_A	demuxed-203_A.fastq	7150235
203_A_matched	TEF_268bp_U001_U001.primermatched.fastq	631831
203_A_amplicons	TEF_268bp_U001_U001.amplicons.fastq	631831
203_A	demuxed-203_A.fastq	7150235
203_A_matched	RPB1_320bp_U001_U001.primermatched.fastq	12263
203_A_amplicons	RPB1_320bp_U001_U001.amplicons.fastq	12263
