Species,Voucher,SSU,LSU,TEF,RPB1,RPB2,ITS,Host
Hirsutella citriformis,ARSEF 1446,KM652065,,KM651990,KM652031,,,
Hirsutella citriformis,ARSEF 9180,,,,,,KM652156,Diaphorina citri
Hirsutella citriformis,NHJ 12118,,EF468829,,,,,
Ophiocordyceps acicularis,OSC 128580,DQ522543,DQ518757,DQ522326,DQ522371,DQ522423,JN049820,
Ophiocordyceps agriotidis,ARSEF 5692,DQ522540,DQ518754,DQ522322,DQ522368,DQ522418,JN049819,
Ophiocordyceps albacongiuae,RC20,KX713633,,KX713670,,,,
Ophiocordyceps amazonica,Ophama2026,KJ917562,KJ917571,KM411989,KP212902,KM411982,,
Ophiocordyceps annulata,CEM303,KJ878915,KJ878881,KJ878962,KJ878995,,,
Ophiocordyceps anocheti,HKAS 132231,PV139232,PV139248,PV156011,PV155982,PV155996,,
Ophiocordyceps anocheti,HKAS 132269,,,,,,PV139218,
Ophiocordyceps anshunensis,GMBC 3026,,PP577938,PP681121,PP681111,PP681116,,
Ophiocordyceps anshunensis,GMBC 3027,PP583072,,,,,PP583072,
Ophiocordyceps aphodii,ARSEF 5498,DQ522541,DQ518755,DQ522323,,DQ522419,,
Ophiocordyceps aphrophoridarum,YTS19061907,MW139324,MW139330,MW160163,MW160167,MW160165,MW139322,Aphrophoridae sp. (Homoptera)
Ophiocordyceps appendiculata,NBRC 106959,JN941729,JN941412,AB968578,JN992463,AB968540,,
Ophiocordyceps appendiculata,NBRC 106960,,,,,,JN943326,
Ophiocordyceps araracuarensis,Ophful696,KC610788,KC610769,KC610738,KF658665,KC610716,,
Ophiocordyceps araracuarensis,Ophsp.696,,,,,,KP200891,
Ophiocordyceps arborescens,NBRC:105890,,AB968415,AB968573,,AB968535,,
Ophiocordyceps arborescens,NBRC:105891,NG_064858,,,,,NR_147510,
Ophiocordyceps aseptatospora,GZAAS 22-2052,OR464180,OR464181,OR463900,OR463898,OR463899,OR464182,Hymenoptera
Ophiocordyceps asiana,GMBC 3023,,,,,PP681113,,
Ophiocordyceps asiana,HKAS125846,PP707760,,,,,,
Ophiocordyceps asiana,MY11878,,MW280213,MW292448,MW296049,,MW285719,Hemiptera
Ophiocordyceps australis,Ophaus1780,,,,,,KP200888,Pachycondyla crassinoda
Ophiocordyceps australis,Ophaus1901,,,,,KC610713,,Pachycondyla crassinoda
Ophiocordyceps australis,Ophaus774,KC610784,KC610764,KC610734,KF658678,,,
Ophiocordyceps australis,Ophaus926,KC610786,KC610765,KC610735,KF658662,,,
Ophiocordyceps bannaensis,ant of Camponotus sp.,PQ825959,PQ825960,,,,PQ826458,
Ophiocordyceps bannaensis,GACP24-0801,,,PQ880174,PQ880176,PQ880175,,
Ophiocordyceps binata,Binat,,MK393323,,,,,
Ophiocordyceps blakebarnesii,MISSOU5,KX713641,KX713610,KX713688,KX713716,,,
Ophiocordyceps blattarioides,Ophbla014,KJ917559,KJ917570,KM411992,,,,
Ophiocordyceps blattarioides,Ophbla2098,,,,,KM411984,,
Ophiocordyceps blattarioides,Ophsp.014,,,,KP212910,,,
Ophiocordyceps brunneanigra,BCC69032,,MF614654,MF614638,MF614668,MF614681,,
Ophiocordyceps brunneaperitheciata,BCC49312,,MF614660,MF614642,MF614686,MF614686,,
Ophiocordyceps brunneipunctata,HKAS149958,,,,,,PX411450,Lepidoptera
Ophiocordyceps brunneipunctata,OSC 128576,DQ522542,DQ518756,DQ522324,DQ522369,DQ522420,,
Ophiocordyceps buquetii,BCC 93053,,,,,,ON763782,Oecophylla smaragdina
Ophiocordyceps buquetii,HMAS_199613,KJ878939,KJ878904,KJ878984,KJ879019,,,
Ophiocordyceps buquetii,HMAS_199617,KJ878940,KJ878905,KJ878985,KJ879020,,,
Ophiocordyceps calliphoridarum,GMB 3129,PX224995,PX225004,PX225635,,PX245454,,
Ophiocordyceps calliphoridarum,GMB 3131,,,,,,PX219625,
Ophiocordyceps camponoti,ATRI3,KX713666,KX520652,KX713677,,,,
Ophiocordyceps camponoti,C36,KJ201512,,,,,,
Ophiocordyceps camponoti,C40,KJ201519,,,,,,
Ophiocordyceps camponoti,Co24,,,JN819013,,,,
Ophiocordyceps camponoti,Co25,,,JN819012,,,,
Ophiocordyceps camponoti,FEMO2,KX713663,KX713590,KX713678,KX713702,,,
Ophiocordyceps camponoti,Flo4,KX713662,KX713591,,,,,
Ophiocordyceps camponoti,Flx2,,,KX713674,,,,
Ophiocordyceps camponoti,G108,KX713659,KX713594,KX713679,KX713704,,,
Ophiocordyceps camponoti,G143,KX713658,KX713595,KX713690,KX713705,,,
Ophiocordyceps camponoti,HIPPOC,KX713655,KX713597,KX713673,KX713707,,,
Ophiocordyceps camponoti,INDI2,KX713654,KX713598,,,,,
Ophiocordyceps camponoti,INPA 280294,,,,,MH476447,,
Ophiocordyceps camponoti,MFLU:22-0269,,,,,,OQ127356,
Ophiocordyceps camponoti,NIDUL2,KX713640,KX713611,KX713669,KX713717,,,
Ophiocordyceps camponoti,OBIS5,KX713636,KX713616,KX713693,KX713721,,,
Ophiocordyceps camponoti,ORENG,KX713634,KX713617,KX713671,,,,
Ophiocordyceps camponoti,YFCC 9028,,OR685713,,PP102223,PP091966,,
Ophiocordyceps clavata,CEM1762,KJ878916,KJ878882,KJ878963,KJ878996,,,
Ophiocordyceps clavata,MY12912,,,,,OR855838,,Coleoptera
Ophiocordyceps cochlidiicola,520621MF432,,,,,,PP454968,
Ophiocordyceps cochlidiicola,HMAS_199612,KJ878917,KJ878884,KJ878965,KJ878998,,,
Ophiocordyceps communis,BCC 2754,,,,MK214111,,MH754727,Termitidae(adult termite)
Ophiocordyceps communis,NHJ 12581,EF468973,EF468831,EF468775,,EF468930,,
Ophiocordyceps corriemoreau,C2014A,,,,,MK491926,,
Ophiocordyceps corriemoreauae,C2014A,MK393831,MK393324,,MK491926,,,
Ophiocordyceps crinalis,GDGM 17327,KF226253,KF226254,KF226256,KF226255,,,
Ophiocordyceps crinalis,HKAS:102447,,,,,OQ186406,,
Ophiocordyceps crinalis,KUMCC 5194,,,,,,OQ935399,
Ophiocordyceps curculionum,IAvH-TRI-MR160,,,,,,PP727840,
Ophiocordyceps curculionum,OSC 151910,KJ878918,KJ878885,,KJ878999,,,
Ophiocordyceps cylindrospora,HKAS 148937,,,PV855904,PX406246,,,
Ophiocordyceps cylindrospora,MFLU:17-1961,MG553651,MG553652,,,MG647029,NR_164488,Hymenoptera
Ophiocordyceps daceti,MF01,,KX713604,KX713667,,,,
Ophiocordyceps daceti,MF90,KX713645,,,,,,
Ophiocordyceps diabolica,BDS32,MK393830,MK393322,MK491907,,,,
Ophiocordyceps dipterigena,MRCIF71,,,,,,EU573346,
Ophiocordyceps dipterigena,Ophdip899,,,,,KC610715,,
Ophiocordyceps dipterigena,OSC 151911,KJ878919,KJ878886,KJ878966,KJ879000,,,
Ophiocordyceps dipterigena,OSC 151912,KJ878920,KJ878887,KJ878967,KJ879001,,,
Ophiocordyceps ditmarii,WU42993,MT878364,MT937097,,,,MT878364,Vespula vulgaris
