Species	Voucher	Gene	Reason
Hirsutella citriformis	ARSEF 1446	ITS	no voucher match
Hirsutella citriformis	ARSEF 1446	LSU	no voucher match
Hirsutella citriformis	ARSEF 1446	RPB2	no voucher match
Hirsutella citriformis	ARSEF 9180	SSU	no voucher match
Hirsutella citriformis	ARSEF 9180	LSU	no voucher match
Hirsutella citriformis	ARSEF 9180	TEF	no voucher match
Hirsutella citriformis	ARSEF 9180	RPB1	no voucher match
Hirsutella citriformis	ARSEF 9180	RPB2	no voucher match
Hirsutella citriformis	NHJ 12118	ITS	no voucher match
Hirsutella citriformis	NHJ 12118	SSU	no voucher match
Hirsutella citriformis	NHJ 12118	TEF	no voucher match
Hirsutella citriformis	NHJ 12118	RPB1	no voucher match
Hirsutella citriformis	NHJ 12118	RPB2	no voucher match
Ophiocordyceps albacongiuae	RC20	ITS	no voucher match
Ophiocordyceps albacongiuae	RC20	LSU	no voucher match
Ophiocordyceps albacongiuae	RC20	RPB1	no voucher match
Ophiocordyceps albacongiuae	RC20	RPB2	no voucher match
Ophiocordyceps amazonica	Ophama2026	ITS	no voucher match
Ophiocordyceps annulata	CEM303	ITS	no voucher match
Ophiocordyceps annulata	CEM303	RPB2	no voucher match
Ophiocordyceps anocheti	HKAS 132269	SSU	no voucher match
Ophiocordyceps anocheti	HKAS 132269	LSU	no voucher match
Ophiocordyceps anocheti	HKAS 132269	TEF	no voucher match
Ophiocordyceps anocheti	HKAS 132269	RPB1	no voucher match
Ophiocordyceps anocheti	HKAS 132269	RPB2	no voucher match
Ophiocordyceps anshunensis	GMBC 3027	LSU	no voucher match
Ophiocordyceps anshunensis	GMBC 3027	TEF	no voucher match
Ophiocordyceps anshunensis	GMBC 3027	RPB1	no voucher match
Ophiocordyceps anshunensis	GMBC 3027	RPB2	no voucher match
Ophiocordyceps aphodii	ARSEF 5498	ITS	no voucher match
Ophiocordyceps aphodii	ARSEF 5498	RPB1	no voucher match
Ophiocordyceps appendiculata	NBRC 106960	SSU	no voucher match
Ophiocordyceps appendiculata	NBRC 106960	LSU	no voucher match
Ophiocordyceps appendiculata	NBRC 106960	TEF	no voucher match
Ophiocordyceps appendiculata	NBRC 106960	RPB1	no voucher match
Ophiocordyceps appendiculata	NBRC 106960	RPB2	no voucher match
Ophiocordyceps araracuarensis	Ophful696	ITS	no voucher match
Ophiocordyceps araracuarensis	Ophsp.696	SSU	no voucher match
Ophiocordyceps araracuarensis	Ophsp.696	LSU	no voucher match
Ophiocordyceps araracuarensis	Ophsp.696	TEF	no voucher match
Ophiocordyceps araracuarensis	Ophsp.696	RPB1	no voucher match
Ophiocordyceps araracuarensis	Ophsp.696	RPB2	no voucher match
Ophiocordyceps arborescens	NBRC:105890	ITS	no voucher match
Ophiocordyceps arborescens	NBRC:105890	SSU	no voucher match
Ophiocordyceps arborescens	NBRC:105890	RPB1	no voucher match
Ophiocordyceps arborescens	NBRC:105891	LSU	no voucher match
Ophiocordyceps arborescens	NBRC:105891	TEF	no voucher match
Ophiocordyceps arborescens	NBRC:105891	RPB1	no voucher match
Ophiocordyceps arborescens	NBRC:105891	RPB2	no voucher match
Ophiocordyceps asiana	HKAS125846	ITS	no voucher match
Ophiocordyceps asiana	HKAS125846	LSU	no voucher match
Ophiocordyceps asiana	HKAS125846	TEF	no voucher match
Ophiocordyceps asiana	HKAS125846	RPB1	no voucher match
Ophiocordyceps asiana	HKAS125846	RPB2	no voucher match
Ophiocordyceps asiana	MY11878	SSU	no voucher match
Ophiocordyceps asiana	MY11878	RPB2	no voucher match
Ophiocordyceps australis	Ophaus1780	SSU	no voucher match
Ophiocordyceps australis	Ophaus1780	TEF	no voucher match
Ophiocordyceps australis	Ophaus1780	RPB1	no voucher match
Ophiocordyceps australis	Ophaus1780	RPB2	no voucher match
Ophiocordyceps australis	Ophaus1901	ITS	no voucher match
Ophiocordyceps australis	Ophaus1901	SSU	no voucher match
Ophiocordyceps australis	Ophaus1901	LSU	no voucher match
Ophiocordyceps australis	Ophaus1901	TEF	no voucher match
Ophiocordyceps australis	Ophaus1901	RPB1	no voucher match
Ophiocordyceps australis	Ophaus774	ITS	no voucher match
Ophiocordyceps australis	Ophaus774	RPB2	no voucher match
Ophiocordyceps australis	Ophaus926	ITS	no voucher match
Ophiocordyceps australis	Ophaus926	RPB2	no voucher match
Ophiocordyceps bannaensis	ant of Camponotus sp.	TEF	no voucher match
Ophiocordyceps bannaensis	ant of Camponotus sp.	RPB1	no voucher match
Ophiocordyceps bannaensis	ant of Camponotus sp.	RPB2	no voucher match
Ophiocordyceps bannaensis	GACP24-0801	ITS	no voucher match
Ophiocordyceps bannaensis	GACP24-0801	SSU	no voucher match
Ophiocordyceps bannaensis	GACP24-0801	LSU	no voucher match
Ophiocordyceps binata	Binat	ITS	no voucher match
Ophiocordyceps binata	Binat	SSU	no voucher match
Ophiocordyceps binata	Binat	TEF	no voucher match
Ophiocordyceps binata	Binat	RPB1	no voucher match
Ophiocordyceps binata	Binat	RPB2	no voucher match
Ophiocordyceps blakebarnesii	MISSOU5	ITS	no voucher match
Ophiocordyceps blakebarnesii	MISSOU5	RPB2	no voucher match
Ophiocordyceps blattarioides	Ophbla014	ITS	no voucher match
Ophiocordyceps blattarioides	Ophbla014	RPB1	no voucher match
Ophiocordyceps blattarioides	Ophbla014	RPB2	no voucher match
Ophiocordyceps blattarioides	Ophbla2098	ITS	no voucher match
Ophiocordyceps blattarioides	Ophbla2098	SSU	no voucher match
Ophiocordyceps blattarioides	Ophbla2098	LSU	no voucher match
Ophiocordyceps blattarioides	Ophbla2098	TEF	no voucher match
Ophiocordyceps blattarioides	Ophbla2098	RPB1	no voucher match
Ophiocordyceps blattarioides	Ophsp.014	ITS	no voucher match
Ophiocordyceps blattarioides	Ophsp.014	SSU	no voucher match
Ophiocordyceps blattarioides	Ophsp.014	LSU	no voucher match
Ophiocordyceps blattarioides	Ophsp.014	TEF	no voucher match
Ophiocordyceps blattarioides	Ophsp.014	RPB2	no voucher match
Ophiocordyceps brunneanigra	BCC69032	ITS	no voucher match
Ophiocordyceps brunneanigra	BCC69032	SSU	no voucher match
Ophiocordyceps brunneaperitheciata	BCC49312	ITS	no voucher match
Ophiocordyceps brunneaperitheciata	BCC49312	SSU	no voucher match
Ophiocordyceps brunneipunctata	HKAS149958	TEF	no voucher match
Ophiocordyceps brunneipunctata	HKAS149958	RPB2	no voucher match
Ophiocordyceps brunneipunctata	OSC 128576	ITS	no voucher match
Ophiocordyceps buquetii	BCC 93053	SSU	no voucher match
Ophiocordyceps buquetii	BCC 93053	LSU	no voucher match
Ophiocordyceps buquetii	BCC 93053	TEF	no voucher match
Ophiocordyceps buquetii	BCC 93053	RPB1	no voucher match
Ophiocordyceps buquetii	BCC 93053	RPB2	no voucher match
Ophiocordyceps buquetii	HMAS_199613	ITS	no voucher match
Ophiocordyceps buquetii	HMAS_199613	RPB2	no voucher match
Ophiocordyceps buquetii	HMAS_199617	ITS	no voucher match
Ophiocordyceps buquetii	HMAS_199617	RPB2	no voucher match
Ophiocordyceps calliphoridarum	GMB 3129	RPB1	no voucher match
Ophiocordyceps calliphoridarum	GMB 3131	SSU	no voucher match
Ophiocordyceps calliphoridarum	GMB 3131	LSU	no voucher match
Ophiocordyceps calliphoridarum	GMB 3131	TEF	no voucher match
Ophiocordyceps calliphoridarum	GMB 3131	RPB1	no voucher match
Ophiocordyceps calliphoridarum	GMB 3131	RPB2	no voucher match
Ophiocordyceps camponoti	ATRI3	ITS	no voucher match
Ophiocordyceps camponoti	ATRI3	RPB1	no voucher match
