Species	Voucher	ITS	SSU	LSU	TEF	RPB1	RPB2
Ophiocordyceps nutans	11BidoupNLU			X			
Ophiocordyceps nutans	12BidoupNLU			X			
Ophiocordyceps nutans	15BidoupNLU			X			
Ophiocordyceps nutans	420526MF0525			X			
Ophiocordyceps nutans	420526MF0895			X			
Ophiocordyceps nutans	CPA50			X			
Ophiocordyceps nutans	FI935			X			
Ophiocordyceps nutans	FI942			X			
Ophiocordyceps nutans	GMBC3024		X	X	X	X	X
Ophiocordyceps nutans	HKAS102461		X	X	X		X
Ophiocordyceps nutans	HKAS126065			X	X		
Ophiocordyceps nutans	HKAS126074			X	X		
Ophiocordyceps nutans	HKAS126077				X		
Ophiocordyceps nutans	HMIGD20876						X
Ophiocordyceps nutans	NBRC100944		X	X	X	X	X
Ophiocordyceps nutans	NBRC101749		X	X	X	X	X
Ophiocordyceps nutans	N_K_Zeng2968			X			
Ophiocordyceps nutans	OSC110994		X	X	X	X	
Ophiocordyceps nutans	Oph994			X			
Ophiocordyceps nutans	XS58			X			
Ophiocordyceps nutans	iNaturalist84633145		X	X			
Ophiocordyceps nutans	iNaturalist84633564		X	X			
