Species,Voucher,SSU,LSU,TEF,RPB1,RPB2,Host
Ophiocordyceps acicularis,OSC 128580,DQ522543,DQ518757,DQ522326,DQ522371,DQ522423,Coleoptera
Ophiocordyceps agriotidis,ARSEF 5692,DQ522540,DQ518754,DQ522322,DQ522368,DQ522418,Coleoptera
Ophiocordyceps albacongiuae,RC20,KX713633,,KX713670,,,Hymenoptera (Camponotus sp.)
Ophiocordyceps amazonica,HUA 186143,KJ917562,KJ917571,KM411989,KP212902,KM411982,Orthoptera
Ophiocordyceps annulata,CEM 303,KJ878915,KJ878881,KJ878962,KJ878995,,Coleoptera
Ophiocordyceps aphodii,ARSEF 5498,DQ522541,DQ518755,DQ522323,,DQ522419,Coleoptera
Ophiocordyceps appendiculata,NBRC 106959,,JN941412,AB968578,,AB968540,Coleoptera
Ophiocordyceps araracuarensis,HUA 186135,KC610788,KC610769,KC610738,KF658665,KC610716,Hemiptera (cicada nymph)
Ophiocordyceps arborescens,NBRC 105890,,AB968415,AB968573,,AB968535,Lepidoptera
Ophiocordyceps australis,HUA 186147,KC610784,KC610764,KC610734,KF658678,,Hymenoptera (Pachycondyla crassinoda)
Ophiocordyceps binata,Binat,,MK393323,,,,Hymenoptera (Pachycondyla crassinoda; P. impressa)
Ophiocordyceps blakebarnesii,MISSOU5,KX713641,KX713610,KX713688,KX713716,,Hymenoptera (Camponotus sp.)
Ophiocordyceps blattarioides,HUA186093,KJ917559,KJ917570,KM411992,KP212910,KM411984,Blattoidea
Ophiocordyceps brunneanigra,TBRC 8093,,MF614654,MF614638,MF614668,MF614681,Hemiptera
Ophiocordyceps brunneaperitheciata,BCC 49312,,MF614660,MF614642,MF614686,,Lepidoptera
Ophiocordyceps brunneipunctata,OSC 128576,DQ522542,DQ518756,DQ522324,DQ522369,DQ522420,Coleoptera
Ophiocordyceps buquetii,HMAS 199617,KJ878940,KJ878905,KJ878985,KJ879020,,Hymenoptera (Polyrhachis; Platythyrea; Camponotus; Dolichoderus)
Ophiocordyceps camponoti-atricipis,ATRI3,KX713666,,KX713677,,,Hymenoptera (Camponotus atriceps)
Ophiocordyceps camponoti-balzani,G143,KX713658,KX713595,KX713690,KX713705,,Hymenoptera (Camponotus balzani)
Ophiocordyceps camponoti-bispinosi,OBIS5,KX713636,KX713616,KX713693,KX713721,,Hymenoptera (Camponotus bispinosus)
Ophiocordyceps camponoti-femorati,FEMO2,KX713663,KX713590,KX713678,KX713702,,Hymenoptera (Camponotus femoratus)
Ophiocordyceps camponoti-floridani,Flo4,KX713662,KX713591,,,,Hymenoptera (Camponotus femoratus)
Ophiocordyceps camponoti-furcata,P39,KJ201504,,JN819003,,,Hymenoptera (Polyrhachis furcata)
Ophiocordyceps camponoti-hippocrepidis,HIPPOC,KX713655,KX713597,KX713673,KX713707,,Hymenoptera (Camponotus hippocrepis)
Ophiocordyceps camponoti-indiani,INDI2,KX713654,KX713598,,,,Hymenoptera (Camponotus indianus)
Ophiocordyceps camponoti-leonardi,C36,KJ201512,,JN819013,,,Hymenoptera (Colobopsis [Camponotus] leonardi)
Ophiocordyceps camponoti-nidulantis,NIDUL2,KX713640,KX713611,KX713669,KX713717,,Hymenoptera (Camponotus nidulans)
Ophiocordyceps camponoti-renggeri,ORENG,KX713634,KX713617,KX713671,,,Hymenoptera (Camponotus renggeri)
