Species	Voucher	Found	Accession
Hirsutella citriformis	ARSEF 1446	YES	KM652154.1
Hirsutella citriformis	NHJ 12118	NO	
Ophiocordyceps albacongiuae	RC20	NO	
Ophiocordyceps amazonica	Ophama2026	NO	
Ophiocordyceps annulata	CEM303	NO	
Ophiocordyceps anocheti	HKAS 132231	YES	PV139217.1
Ophiocordyceps anshunensis	GMBC 3026	YES	PP583071.1
Ophiocordyceps aphodii	ARSEF 5498	NO	
Ophiocordyceps appendiculata	NBRC 106959	YES	JN993174.1
Ophiocordyceps araracuarensis	Ophful696	YES	KP200891.1
Ophiocordyceps arborescens	NBRC:105890	YES	AB968399.1
Ophiocordyceps asiana	GMBC 3023	YES	PP583068.1
Ophiocordyceps asiana	HKAS125846	YES	PP627513.1
Ophiocordyceps australis	Ophaus1901	NO	
Ophiocordyceps australis	Ophaus774	NO	
Ophiocordyceps australis	Ophaus926	NO	
Ophiocordyceps bannaensis	GACP24-0801	NO	
Ophiocordyceps binata	Binat	NO	
Ophiocordyceps blakebarnesii	MISSOU5	NO	
Ophiocordyceps blattarioides	Ophbla014	NO	
Ophiocordyceps blattarioides	Ophbla2098	NO	
Ophiocordyceps blattarioides	Ophsp.014	NO	
Ophiocordyceps brunneanigra	BCC69032	NO	
Ophiocordyceps brunneaperitheciata	BCC49312	NO	
Ophiocordyceps brunneipunctata	OSC 128576	NO	
Ophiocordyceps buquetii	HMAS_199613	NO	
Ophiocordyceps buquetii	HMAS_199617	NO	
Ophiocordyceps calliphoridarum	GMB 3129	YES	PX219623.1
Ophiocordyceps camponoti	ATRI3	NO	
Ophiocordyceps camponoti	C36	NO	
Ophiocordyceps camponoti	C40	NO	
Ophiocordyceps camponoti	Co24	NO	
Ophiocordyceps camponoti	Co25	NO	
Ophiocordyceps camponoti	FEMO2	NO	
Ophiocordyceps camponoti	Flo4	NO	
Ophiocordyceps camponoti	Flx2	NO	
Ophiocordyceps camponoti	G108	NO	
Ophiocordyceps camponoti	G143	NO	
Ophiocordyceps camponoti	HIPPOC	NO	
Ophiocordyceps camponoti	INDI2	NO	
Ophiocordyceps camponoti	INPA 280294	NO	
Ophiocordyceps camponoti	NIDUL2	NO	
Ophiocordyceps camponoti	OBIS5	NO	
Ophiocordyceps camponoti	ORENG	NO	
Ophiocordyceps camponoti	YFCC 9028	NO	
Ophiocordyceps clavata	CEM1762	NO	
Ophiocordyceps clavata	MY12912	NO	
Ophiocordyceps cochlidiicola	HMAS_199612	NO	
Ophiocordyceps communis	NHJ 12581	NO	
Ophiocordyceps corriemoreau	C2014A	NO	
Ophiocordyceps corriemoreauae	C2014A	NO	
Ophiocordyceps crinalis	GDGM 17327	NO	
Ophiocordyceps crinalis	HKAS:102447	YES	OQ127357.1
Ophiocordyceps curculionum	OSC 151910	NO	
Ophiocordyceps cylindrospora	HKAS 148937	NO	
Ophiocordyceps daceti	MF01	NO	
Ophiocordyceps daceti	MF90	NO	
Ophiocordyceps diabolica	BDS32	NO	
Ophiocordyceps dipterigena	Ophdip899	NO	
Ophiocordyceps dipterigena	OSC 151911	NO	
Ophiocordyceps dipterigena	OSC 151912	NO	
Ophiocordyceps elongata	OSC 110989	NO	
Ophiocordyceps evansii	Ophsp.858	YES	KP200889.1
Ophiocordyceps formicarum	TNS F18565	NO	
Ophiocordyceps formosana	TNM F13893	NO	
Ophiocordyceps forquignonii	OSC 151902	NO	
Ophiocordyceps fulgoromorphila	Ophara717	NO	
Ophiocordyceps fulgoromorphila	Ophsp.717	NO	
Ophiocordyceps geometridicola	BCC35947	NO	
Ophiocordyceps gracilis	EFCC 3101	NO	
Ophiocordyceps gracillisima	Ophgrc679	NO	
Ophiocordyceps granospora	BCC82255	NO	
Ophiocordyceps granospora	OSC 128579	NO	
Ophiocordyceps halabalaensis	MY1308	YES	GU723758.1
Ophiocordyceps humbertii	MF116A	NO	
Ophiocordyceps humbertii	MF116B	NO	
Ophiocordyceps khaoyaiensis	BCC82796	NO	
Ophiocordyceps kimflemingiae	SC30	NO	
Ophiocordyceps kniphofioides	HUA TSF 790	NO	
