Species	Voucher	Gene	Reason
Ophiocordyceps albacongiuae	RC20	ITS	no voucher match
Ophiocordyceps albacongiuae	RC20	LSU	no voucher match
Ophiocordyceps albacongiuae	RC20	RPB1	no voucher match
Ophiocordyceps albacongiuae	RC20	RPB2	no voucher match
Ophiocordyceps amazonica	HUA 186143	ITS	no voucher match
Ophiocordyceps annulata	CEM 303	ITS	no voucher match
Ophiocordyceps annulata	CEM 303	RPB2	no voucher match
Ophiocordyceps aphodii	ARSEF 5498	ITS	no voucher match
Ophiocordyceps aphodii	ARSEF 5498	RPB1	no voucher match
Ophiocordyceps arborescens	NBRC 105890	RPB1	no voucher match
Ophiocordyceps binata	Binat	ITS	no voucher match
Ophiocordyceps binata	Binat	SSU	no voucher match
Ophiocordyceps binata	Binat	TEF	no voucher match
Ophiocordyceps binata	Binat	RPB1	no voucher match
Ophiocordyceps binata	Binat	RPB2	no voucher match
Ophiocordyceps blakebarnesii	MISSOU5	ITS	no voucher match
Ophiocordyceps blakebarnesii	MISSOU5	RPB2	no voucher match
Ophiocordyceps blattarioides	HUA186093	ITS	no voucher match
Ophiocordyceps brunneanigra	TBRC 8093	ITS	no voucher match
Ophiocordyceps brunneanigra	TBRC 8093	SSU	no voucher match
Ophiocordyceps brunneaperitheciata	BCC 49312	ITS	no voucher match
Ophiocordyceps brunneaperitheciata	BCC 49312	SSU	no voucher match
Ophiocordyceps buquetii	HMAS 199617	RPB2	no voucher match
Ophiocordyceps camponoti-atricipis	ATRI3	ITS	no voucher match
Ophiocordyceps camponoti-atricipis	ATRI3	RPB1	no voucher match
Ophiocordyceps camponoti-balzani	G143	ITS	no voucher match
Ophiocordyceps camponoti-balzani	G143	RPB2	no voucher match
Ophiocordyceps camponoti-bispinosi	OBIS5	ITS	no voucher match
Ophiocordyceps camponoti-bispinosi	OBIS5	RPB2	no voucher match
Ophiocordyceps camponoti-femorati	FEMO2	ITS	no voucher match
Ophiocordyceps camponoti-femorati	FEMO2	RPB2	no voucher match
Ophiocordyceps camponoti-floridani	Flo4	ITS	no voucher match
Ophiocordyceps camponoti-floridani	Flo4	RPB1	no voucher match
Ophiocordyceps camponoti-floridani	Flo4	RPB2	no voucher match
Ophiocordyceps camponoti-furcata	P39	ITS	no voucher match
Ophiocordyceps camponoti-furcata	P39	LSU	no voucher match
Ophiocordyceps camponoti-furcata	P39	RPB1	no voucher match
Ophiocordyceps camponoti-furcata	P39	RPB2	no voucher match
Ophiocordyceps camponoti-hippocrepidis	HIPPOC	ITS	no voucher match
Ophiocordyceps camponoti-hippocrepidis	HIPPOC	RPB2	no voucher match
Ophiocordyceps camponoti-indiani	INDI2	ITS	no voucher match
Ophiocordyceps camponoti-indiani	INDI2	TEF	no voucher match
Ophiocordyceps camponoti-indiani	INDI2	RPB1	no voucher match
Ophiocordyceps camponoti-indiani	INDI2	RPB2	no voucher match
Ophiocordyceps camponoti-nidulantis	NIDUL2	ITS	no voucher match
Ophiocordyceps camponoti-nidulantis	NIDUL2	RPB2	no voucher match
Ophiocordyceps camponoti-renggeri	ORENG	ITS	no voucher match
Ophiocordyceps camponoti-renggeri	ORENG	RPB1	no voucher match
Ophiocordyceps camponoti-renggeri	ORENG	RPB2	no voucher match
Ophiocordyceps camponoti-rufipedis	G108	ITS	no voucher match
Ophiocordyceps camponoti-rufipedis	G108	RPB2	no voucher match
Ophiocordyceps camponoti-saundersi	C340	ITS	no voucher match
Ophiocordyceps camponoti-saundersi	C340	LSU	no voucher match
Ophiocordyceps camponoti-saundersi	C340	RPB1	no voucher match
Ophiocordyceps camponoti-saundersi	C340	RPB2	no voucher match
Ophiocordyceps cochlidiicola	HMAS_199612	RPB2	no voucher match
Ophiocordyceps corriemoreau	C2014A	ITS	no voucher match
Ophiocordyceps corriemoreau	C2014A	TEF	no voucher match
Ophiocordyceps corriemoreau	C2014A	RPB1	no voucher match
Ophiocordyceps curculionum	OSC 151910	ITS	no voucher match
Ophiocordyceps curculionum	OSC 151910	RPB2	no voucher match
Ophiocordyceps daceti	MF01	ITS	no voucher match
Ophiocordyceps daceti	MF01	RPB1	no voucher match
Ophiocordyceps daceti	MF01	RPB2	no voucher match
Ophiocordyceps diabolica	BDS 32	ITS	no voucher match
Ophiocordyceps diabolica	BDS 32	RPB1	no voucher match
Ophiocordyceps diabolica	BDS 32	RPB2	no voucher match
Ophiocordyceps elongata	OSC 110989	ITS	no voucher match
Ophiocordyceps elongata	OSC 110989	SSU	no voucher match
Ophiocordyceps elongata	OSC 110989	RPB2	no voucher match
Ophiocordyceps evansii	HUA 186159	RPB2	no voucher match
Ophiocordyceps formicarum	TNS F18565	RPB2	no voucher match
Ophiocordyceps forquignonii	OSC 151902	ITS	no voucher match
Ophiocordyceps forquignonii	OSC 151902	TEF	no voucher match
Ophiocordyceps fulgoromorphila	HUA 186139	ITS	no voucher match
Ophiocordyceps fulgoromorphila	HUA 186139	RPB2	no voucher match
Ophiocordyceps geometridicola	TBRC 8094	ITS	no voucher match
Ophiocordyceps geometridicola	TBRC 8094	SSU	no voucher match
Ophiocordyceps gracillisima	Ophgrc679	ITS	no voucher match
Ophiocordyceps gracillisima	Ophgrc679	SSU	no voucher match
Ophiocordyceps gracillisima	Ophgrc679	RPB2	no voucher match
Ophiocordyceps granospora	OSC 128579	ITS	no voucher match
Ophiocordyceps granospora	OSC 128579	RPB2	no voucher match
Ophiocordyceps halabalaensis	MY5151	RPB1	no voucher match
Ophiocordyceps halabalaensis	MY5151	RPB2	no voucher match
Ophiocordyceps humbertii	MF116A MF116A	ITS	no voucher match
Ophiocordyceps humbertii	MF116A MF116A	TEF	no voucher match
Ophiocordyceps humbertii	MF116A MF116A	RPB2	no voucher match
Ophiocordyceps khaoyaensis	HMAS 199620	ITS	no voucher match
Ophiocordyceps khaoyaensis	HMAS 199620	RPB2	no voucher match
Ophiocordyceps kimflemingiae	SC30	ITS	no voucher match
Ophiocordyceps kimflemingiae	SC30	RPB2	no voucher match
Ophiocordyceps konnoana	EFCC 7315	LSU	no voucher match
Ophiocordyceps lloydii	OSC 151913	RPB2	no voucher match
Ophiocordyceps megacuculla	OSC 128578	ITS	no voucher match
Ophiocordyceps megacuculla	OSC 128578	RPB2	no voucher match
Ophiocordyceps melolonthae	OSC 110993	RPB2	no voucher match
Ophiocordyceps monacidis	MF74	ITS	no voucher match
Ophiocordyceps monacidis	MF74	TEF	no voucher match
Ophiocordyceps monacidis	MF74	RPB2	no voucher match
Ophiocordyceps multiperitheciata	BCC 22861	ITS	no voucher match
Ophiocordyceps multiperitheciata	BCC 22861	SSU	no voucher match
Ophiocordyceps naomipierceae	DAWKSANT	ITS	no voucher match
Ophiocordyceps naomipierceae	DAWKSANT	TEF	no voucher match
Ophiocordyceps naomipierceae	DAWKSANT	RPB2	no voucher match
Ophiocordyceps neovolkiana	OSC 151903	RPB2	no voucher match
Ophiocordyceps nutans	OSC 110994	ITS	no voucher match
Ophiocordyceps nutans	OSC 110994	RPB2	no voucher match
Ophiocordyceps odonatae	TNS F18563	TEF	no voucher match
Ophiocordyceps odonatae	TNS F18563	RPB2	no voucher match
Ophiocordyceps odontomachi	Odonto1	ITS	no voucher match
Ophiocordyceps odontomachi	Odonto1	SSU	no voucher match
Ophiocordyceps odontomachi	Odonto1	TEF	no voucher match
Ophiocordyceps odontomachi	Odonto1	RPB2	no voucher match
Ophiocordyceps oecophyllae	OECO1	RPB1	no voucher match
Ophiocordyceps oecophyllae	OECO1	RPB2	no voucher match
Ophiocordyceps ootakii	J13	ITS	no voucher match
Ophiocordyceps ootakii	J13	RPB2	no voucher match
Ophiocordyceps paltothyrei	Palt2	ITS	no voucher match
Ophiocordyceps paltothyrei	Palt2	TEF	no voucher match
Ophiocordyceps paltothyrei	Palt2	RPB2	no voucher match
Ophiocordyceps pauciovoperitheciata	TBRC 8096	ITS	no voucher match
Ophiocordyceps pauciovoperitheciata	TBRC 8096	SSU	no voucher match
Ophiocordyceps polyrhachis-furcata	P39	ITS	no voucher match
Ophiocordyceps polyrhachis-furcata	P39	LSU	no voucher match
Ophiocordyceps polyrhachis-furcata	P39	RPB1	no voucher match
Ophiocordyceps polyrhachis-furcata	P39	RPB2	no voucher match
Ophiocordyceps ponerinarum	HUA 186140	ITS	no voucher match
Ophiocordyceps ponerinarum	HUA 186140	RPB2	no voucher match
Ophiocordyceps pseudoacicularis	TBRC 8101	ITS	no voucher match
Ophiocordyceps pseudoacicularis	TBRC 8101	SSU	no voucher match
Ophiocordyceps pseudomyrmexi	P10B1	ITS	no voucher match
Ophiocordyceps pseudomyrmexi	P10B1	TEF	no voucher match
Ophiocordyceps pseudomyrmexi	P10B1	RPB1	no voucher match
Ophiocordyceps pseudomyrmexi	P10B1	RPB2	no voucher match
Ophiocordyceps pulvinata	TNS-F 30044	RPB2	no voucher match
Ophiocordyceps purpureostromata	TNS F18430	ITS	no voucher match
Ophiocordyceps purpureostromata	TNS F18430	RPB2	no voucher match
Ophiocordyceps rami	MY6736	ITS	no voucher match
Ophiocordyceps rami	MY6736	LSU	no voucher match
Ophiocordyceps rami	MY6736	RPB1	no voucher match
Ophiocordyceps rami	MY6736	RPB2	no voucher match
