Species	Voucher	Found	Accession
Ophiocordyceps acicularis	OSC 128580	YES	JN049820.1
Ophiocordyceps agriotidis	ARSEF 5692	YES	JN049819.1
Ophiocordyceps albacongiuae	RC20	NO	
Ophiocordyceps amazonica	HUA 186143	NO	
Ophiocordyceps annulata	CEM 303	NO	
Ophiocordyceps aphodii	ARSEF 5498	NO	
Ophiocordyceps appendiculata	NBRC 106959	YES	JN993174.1
Ophiocordyceps araracuarensis	HUA 186135	YES	KP200891.1
Ophiocordyceps arborescens	NBRC 105890	YES	AB968399.1
Ophiocordyceps australis	HUA 186147	NO	
Ophiocordyceps binata	Binat	NO	
Ophiocordyceps blakebarnesii	MISSOU5	NO	
Ophiocordyceps blattarioides	HUA186093	NO	
Ophiocordyceps brunneanigra	TBRC 8093	NO	
Ophiocordyceps brunneaperitheciata	BCC 49312	NO	
Ophiocordyceps brunneipunctata	OSC 128576	NO	
Ophiocordyceps buquetii	HMAS 199617	NO	
Ophiocordyceps camponoti-atricipis	ATRI3	NO	
Ophiocordyceps camponoti-balzani	G143	NO	
Ophiocordyceps camponoti-bispinosi	OBIS5	NO	
Ophiocordyceps camponoti-femorati	FEMO2	NO	
Ophiocordyceps camponoti-floridani	Flo4	NO	
Ophiocordyceps camponoti-furcata	P39	NO	
Ophiocordyceps camponoti-hippocrepidis	HIPPOC	NO	
Ophiocordyceps camponoti-indiani	INDI2	NO	
Ophiocordyceps camponoti-leonardi	C36	NO	
Ophiocordyceps camponoti-nidulantis	NIDUL2	NO	
Ophiocordyceps camponoti-renggeri	ORENG	NO	
Ophiocordyceps camponoti-rufipedis	G108	NO	
Ophiocordyceps camponoti-saundersi	C340	NO	
Ophiocordyceps clavata	CEM1762	NO	
Ophiocordyceps cochlidiicola	HMAS_199612	NO	
Ophiocordyceps communis	NHJ 12581	NO	
Ophiocordyceps corriemoreau	C2014A	NO	
Ophiocordyceps crinalis	GDGM 17327	NO	
Ophiocordyceps curculionum	OSC 151910	NO	
Ophiocordyceps daceti	MF01	NO	
Ophiocordyceps diabolica	BDS 32	NO	
Ophiocordyceps dipterigena	CEM 151911	NO	
Ophiocordyceps elongata	OSC 110989	NO	
Ophiocordyceps entomorrhiza	KEW 53484	YES	JN049850.1
Ophiocordyceps evansii	HUA 186159	YES	KP200890.1
Ophiocordyceps formicarum	TNS F18565	NO	
Ophiocordyceps formosana	TNM F13893	NO	
Ophiocordyceps forquignonii	OSC 151902	NO	
Ophiocordyceps fulgoromorphila	HUA 186139	NO	
Ophiocordyceps geometridicola	TBRC 8094	NO	
Ophiocordyceps gracilis	EFCC 3101	NO	
Ophiocordyceps gracillisima	Ophgrc679	NO	
Ophiocordyceps granospora	OSC 128579	NO	
Ophiocordyceps halabalaensis	MY5151	YES	GU723763.1
Ophiocordyceps heteropoda	EFCC 10125	YES	JN049852.1
Ophiocordyceps humbertii	MF116A MF116A	NO	
Ophiocordyceps khaoyaensis	HMAS 199620	NO	
Ophiocordyceps kimflemingiae	SC30	NO	
Ophiocordyceps kniphofioides	MF90	NO	
Ophiocordyceps konnoana	EFCC 7315	NO	
Ophiocordyceps lanpingensis	YHOL 0705	NO	
Ophiocordyceps lloydii	OSC 151913	NO	
Ophiocordyceps longissima	TNS F18448	NO	
Ophiocordyceps macroacicularis	NBRC 105888	YES	AB968401.1
Ophiocordyceps megacuculla	OSC 128578	NO	
Ophiocordyceps melolonthae	OSC 110993	NO	
Ophiocordyceps monacidis	MF74	NO	
Ophiocordyceps multiperitheciata	BCC 22861	NO	
Ophiocordyceps naomipierceae	DAWKSANT	NO	
Ophiocordyceps neovolkiana	OSC 151903	NO	
Ophiocordyceps nigrella	EFCC 9247	YES	JN049853.1
Ophiocordyceps nutans	OSC 110994	NO	
Ophiocordyceps odonatae	TNS F18563	NO	
Ophiocordyceps odontomachi	Odonto1	NO	
Ophiocordyceps oecophyllae	OECO1	NO	
Ophiocordyceps ootakii	J13	NO	
Ophiocordyceps paltothyrei	Palt2	NO	
Ophiocordyceps pauciovoperitheciata	TBRC 8096	NO	
Ophiocordyceps polyrhachis-furcata	P39	NO	
Ophiocordyceps ponerinarum	HUA 186140	NO	
Ophiocordyceps pruinosa	NHJ 12994	NO	
Ophiocordyceps pseudoacicularis	TBRC 8101	NO	
Ophiocordyceps pseudolloydii	Pseu1	NO	
Ophiocordyceps pseudomyrmexi	P10B1	NO	
Ophiocordyceps pulvinata	TNS-F 30044	NO	
Ophiocordyceps purpureostromata	TNS F18430	NO	
Ophiocordyceps rami	MY6736	NO	
Ophiocordyceps ramosissimum	GZUHHN8	YES	KJ028007.1
Ophiocordyceps ravenelii	OSC 110995	NO	
Ophiocordyceps rhizoidea	NHJ 12529	NO	
Ophiocordyceps robertsii	KEW 27083	NO	
Ophiocordyceps rubiginosiperitheciata	NBRC 100946	YES	JN993193.1
Ophiocordyceps satoi	J19	NO	
Ophiocordyceps sinensis	EFCC 7287	YES	JN049854.1
Ophiocordyceps sobolifera	KEW 78842	YES	JN049855.1
Ophiocordyceps sp.	OSC 151909	NO	
Ophiocordyceps sp. (cicada symbiont)	CatKNZ01_OP	NO	
Ophiocordyceps spataforae	NHJ 12525	NO	
Ophiocordyceps sphecocephala	OSC 110998	NO	
Ophiocordyceps stylophora	OSC 111000	YES	JN049828.1
Ophiocordyceps thanathonensis	MFU16-2909	NO	
Ophiocordyceps tiputini	QCNE 186287	NO	
Ophiocordyceps tricentri	CEM 160	NO	
Ophiocordyceps unilateralis s.s.	OSC 128574	NO	
Ophiocordyceps variabilis	ARSEF 5365	NO	
Ophiocordyceps xuefengensis	GZUHHN13	YES	KC631804.1
Ophiocordyceps yakusimensis	HMAS_199604	NO	
Ophiocordyceps nutans	iNaturalist#84633564	NO	
Ophiocordyceps nutans	iNaturalist#84633145	NO	
Ophiocordyceps nutans	FI942	NO	
Ophiocordyceps nutans	15BidoupNLU	NO	
Ophiocordyceps nutans	12BidoupNLU	NO	
Ophiocordyceps nutans	11BidoupNLU	NO	
Ophiocordyceps nutans	HMIGD 20876	NO	
Ophiocordyceps nutans	420526MF0895	NO	
Ophiocordyceps nutans	420526MF0525	NO	
Ophiocordyceps nutans	NBRC:100944	YES	JN993196.1
Ophiocordyceps nutans	Oph994	NO	
Ophiocordyceps nutans	NBRC 100944	YES	JN993196.1
Ophiocordyceps nutans	NBRC 101749	YES	AB968408.1
