Header	SitesConsidered	N_Prop	Mismatch_Prop	Decision
Ophiocordyceps_tricentri_CEM160	686	0.000	0.013	KEEP
Ophiocordyceps_tricentri_NBRC_106968	686	0.000	0.013	KEEP
Ophiocordyceps_nutans_NBRC_101749	282	0.000	0.429	REMOVE
Ophiocordyceps_nutans_KACC500169	306	0.000	0.565	REMOVE
Ophiocordyceps_robertsii_K_M_27083	289	0.000	0.516	REMOVE
Ophiocordyceps_nutans_G97033	258	0.000	0.516	REMOVE
Ophiocordyceps_nutans_G97035	283	0.000	0.431	REMOVE
Ophiocordyceps_nutans_HB0201	287	0.000	0.544	REMOVE
Ophiocordyceps_nutans_20886	283	0.007	0.442	REMOVE
Ophiocordyceps_nutans_HB0202	291	0.000	0.546	REMOVE
Ophiocordyceps_nutans_l	286	0.000	0.437	REMOVE
Tolypocladium_capitatum_OSC71233	680	0.000	0.010	KEEP
Ophiocordyceps_agriotidis_ARSEF5692	686	0.000	0.010	KEEP
Ophiocordyceps_aphodii_ARSEF5498	686	0.000	0.017	KEEP
Ophiocordyceps_brunneipunctata_OSC128576	686	0.000	0.010	KEEP
Ophiocordyceps_acicularis_OSC128580	686	0.000	0.015	KEEP
Ophiocordyceps_melolonthae_OSC110993	686	0.000	0.010	KEEP
Ophiocordyceps_nutans_OSC110994	686	0.000	0.023	KEEP
Ophiocordyceps_ravenelii_OSC110995	686	0.000	0.038	KEEP
Ophiocordyceps_sphecocephala_OSC110998	686	0.000	0.017	KEEP
Ophiocordyceps_stylophora_OSC111000	686	0.000	0.009	KEEP
Ophiocordyceps_unilateralis_OSC128574	686	0.000	0.032	KEEP
Ophiocordyceps_variabilis_ARSEF5365	662	0.000	0.008	KEEP
Ophiocordyceps_irangiensis_OSC128578	686	0.000	0.017	KEEP
Ophiocordyceps_entomorrhiza_KEW53484	686	0.000	0.017	KEEP
Ophiocordyceps_gracilis_EFCC3101	686	0.000	0.025	KEEP
Ophiocordyceps_heteropoda_EFCC10125	685	0.001	0.010	KEEP
Ophiocordyceps_konnoana_EFCC7315	332	0.003	0.027	KEEP
Ophiocordyceps_nigrella_EFCC9247	686	0.000	0.038	KEEP
Ophiocordyceps_rhizoidea_NHJ12529	686	0.000	0.003	KEEP
Ophiocordyceps_sinensis_EFCC7287	313	0.000	0.010	KEEP
Ophiocordyceps_sobolifera_KEW78842	686	0.000	0.009	KEEP
Ophiocordyceps_communis_NHJ12581	674	0.000	0.027	KEEP
Ophiocordyceps_granospora_OSC128579	686	0.000	0.019	KEEP
Ophiocordyceps_spataforae_NHJ12525	676	0.000	0.009	KEEP
Ophiocordyceps_pruinosa_NHJ12994	686	0.000	0.007	KEEP
Ophiocordyceps_pulvinata_TNS_F_30044	686	0.000	0.029	KEEP
Ophiocordyceps_rubiginosiperitheciata_NBRC100946	686	0.000	0.009	KEEP
Ophiocordyceps_nutans_NBRC100944	686	0.000	0.025	KEEP
Ophiocordyceps_appendiculata_NBRC106959	686	0.000	0.009	KEEP
Ophiocordyceps_australis_Ophaus774	682	0.000	0.021	KEEP
Ophiocordyceps_australis_Ophaus926	674	0.000	0.019	KEEP
Ophiocordyceps_araracuarensis_Ophful696	674	0.000	0.007	KEEP
Ophiocordyceps_ponerinarum_Ophkni790	677	0.000	0.018	KEEP
Ophiocordyceps_tiputini_Ophsp_11465	400	0.000	0.040	KEEP
Ophiocordyceps_fulgoromorphila_Ophsp_717	686	0.000	0.041	KEEP
Ophiocordyceps_evansii_Ophsp_858	679	0.000	0.021	KEEP
Ophiocordyceps_xuefengensis_GZUHHN13	279	0.000	0.520	REMOVE
Ophiocordyceps_crinalis_GDGM17327	686	0.000	0.012	KEEP
Ophiocordyceps_ramosissimum_GZUHHN8	681	0.000	0.006	KEEP
Ophiocordyceps_polyrhachis_P39	686	0.000	0.039	KEEP
Ophiocordyceps_camponoti_C36	686	0.000	0.031	KEEP
Ophiocordyceps_camponoti_C40	685	0.001	0.036	KEEP
Ophiocordyceps_formosana_TNM_F13893	682	0.000	0.015	KEEP
Tolypocladium_ophioglossoides_CBS100239	683	0.000	0.006	KEEP
Ophiocordyceps_forquignonii_OSC151902	686	0.000	0.010	KEEP
Ophiocordyceps_annulata_CEM303	686	0.000	0.007	KEEP
Ophiocordyceps_clavata_CEM1762	685	0.000	0.060	KEEP
Ophiocordyceps_cochlidiicola_HMAS199612	686	0.000	0.015	KEEP
Ophiocordyceps_curculionum_OSC151910	687	0.000	0.023	KEEP
Ophiocordyceps_dipterigena_OSC151911	686	0.000	0.020	KEEP
Ophiocordyceps_dipterigena_OSC151912	686	0.000	0.020	KEEP
Ophiocordyceps_formicarum_TNS_F18565	686	0.000	0.019	KEEP
Ophiocordyceps_lloydii_OSC151913	679	0.000	0.022	KEEP
Ophiocordyceps_longissima_TNS_F18448	686	0.000	0.013	KEEP
Ophiocordyceps_myrmecophila_HMAS199620	621	0.000	0.013	KEEP
Ophiocordyceps_neovolkiana_OSC151903	686	0.000	0.009	KEEP
Ophiocordyceps_purpureostromata_TNS_F18430	686	0.000	0.020	KEEP
Ophiocordyceps_yakusimensis_HMAS199604	605	0.000	0.015	KEEP
Ophiocordyceps_buquetii_HMAS199613	653	0.000	0.018	KEEP
Ophiocordyceps_buquetii_HMAS199617	646	0.000	0.017	KEEP
Ophiocordyceps_blattarioides_Ophbla014	560	0.000	0.034	KEEP
Ophiocordyceps_amazonica_Ophama2026	337	0.000	0.042	KEEP
Hirsutella_citriformis_ARSEF1446	686	0.000	0.012	KEEP
Ophiocordyceps_rami_MY6736	686	0.000	0.061	KEEP
Ophiocordyceps_halabalaensis_MY1308	686	0.000	0.032	KEEP
Ophiocordyceps_nutans_KA12_1340	263	0.000	0.418	REMOVE
Ophiocordyceps_neonutans_KEL113	240	0.000	0.508	REMOVE
Ophiocordyceps_neonutans_KEL110	247	0.000	0.506	REMOVE
Ophiocordyceps_neonutans_KEL114	261	0.000	0.502	REMOVE
Ophiocordyceps_neonutans_FMF88	261	0.000	0.502	REMOVE
Ophiocordyceps_neonutans_KEL138	261	0.000	0.502	REMOVE
Ophiocordyceps_neonutans_KEL142	244	0.000	0.508	REMOVE
Ophiocordyceps_kimflemingiae_SC30	688	0.000	0.035	KEEP
Ophiocordyceps_albacongiuae_RC20	669	0.000	0.028	KEEP
Ophiocordyceps_camponoti_ORENG	686	0.000	0.029	KEEP
Ophiocordyceps_oecophyllae_OECO1	686	0.000	0.025	KEEP
Ophiocordyceps_camponoti_OBIS5	686	0.000	0.028	KEEP
Ophiocordyceps_camponoti_NIDUL2	686	0.000	0.035	KEEP
Ophiocordyceps_blakebarnesii_MISSOU5	686	0.000	0.028	KEEP
Ophiocordyceps_daceti_MF90	686	0.000	0.017	KEEP
Ophiocordyceps_monacidis_MF74	686	0.000	0.026	KEEP
Ophiocordyceps_satoi_J19	687	0.000	0.036	KEEP
Ophiocordyceps_ootakii_J13	676	0.000	0.033	KEEP
Ophiocordyceps_camponoti_INDI2	679	0.000	0.031	KEEP
Ophiocordyceps_camponoti_HIPPOC	686	0.000	0.028	KEEP
Ophiocordyceps_camponoti_G143	686	0.000	0.025	KEEP
Ophiocordyceps_camponoti_G108	686	0.000	0.031	KEEP
Ophiocordyceps_camponoti_Flo4	682	0.000	0.031	KEEP
Ophiocordyceps_camponoti_FEMO2	686	0.000	0.031	KEEP
