Header	SitesConsidered	N_Prop	Mismatch_Prop	Decision
Ophiocordyceps_yakusimensis_synonym_Cordyceps_yakusimensis	169	0.000	0.041	KEEP
Ophiocordyceps_pulvinata_Ophiocordyceps_pulvinata_genes_for_18S_rRNA_ITS1_5_8S_rRNA_ITS2_28S_rRNA_partial_and_complete_sequence	169	0.000	0.071	KEEP
Ophiocordyceps_nutans_NBRC_101749	169	0.000	0.071	KEEP
Ophiocordyceps_tricentri_NBRC_106968	169	0.000	0.077	KEEP
Ophiocordyceps_robertsii_K_M_27083	169	0.000	0.053	KEEP
Ophiocordyceps_formosana_HS0825_01	170	0.000	0.088	KEEP
Ophiocordyceps_dipterigena_MRCIF71	169	0.000	0.041	KEEP
Ophiocordyceps_pruinosa_MY3912	169	0.000	0.059	KEEP
Ophiocordyceps_halabalaensis_MY5151	169	0.000	0.089	KEEP
Ophiocordyceps_agriotidis_ARSEF5692	169	0.000	0.053	KEEP
Ophiocordyceps_acicularis_OSC128580	169	0.000	0.053	KEEP
Ophiocordyceps_stylophora_OSC111000	169	0.000	0.053	KEEP
Ophiocordyceps_irangiensis_OSC128578	167	0.000	0.048	KEEP
Ophiocordyceps_entomorrhiza_KEW53484	170	0.000	0.065	KEEP
Ophiocordyceps_gracilis_EFCC8572	157	0.000	0.070	KEEP
Ophiocordyceps_heteropoda_EFCC10125	169	0.000	0.065	KEEP
Ophiocordyceps_nigrella_EFCC9247	157	0.000	0.083	KEEP
Ophiocordyceps_sinensis_EFCC7287	169	0.000	0.083	KEEP
Ophiocordyceps_sobolifera_KEW78842	169	0.000	0.053	KEEP
Ophiocordyceps_rhizoidea_NHJ12522	164	0.000	0.073	KEEP
Ophiocordyceps_appendiculata_NBRC106960	169	0.000	0.071	KEEP
Ophiocordyceps_rubiginosiperitheciata_NBRC106966	169	0.000	0.053	KEEP
Ophiocordyceps_xuefengensis_GZUHHN13	169	0.000	0.053	KEEP
Ophiocordyceps_ramosissimum_GZUHHN8	169	0.000	0.053	KEEP
Hirsutella_citriformis_ARSEF9180	169	0.000	0.053	KEEP
Ophiocordyceps_australis_Ophaus1780	169	0.000	0.036	KEEP
Ophiocordyceps_evansii_Ophsp_912	168	0.000	0.048	KEEP
Ophiocordyceps_araracuarensis_Ophsp_696	169	0.000	0.047	KEEP
Ophiocordyceps_kniphofioides_PCFB	170	0.000	0.071	KEEP
Ophiocordyceps_formicarum_1	170	0.000	0.059	KEEP
Ophiocordyceps_longissima_Cod_SN1402	169	0.000	0.041	KEEP
Ophiocordyceps_neovolkiana_NFCCI_4331	169	0.000	0.041	KEEP
Ophiocordyceps_globiceps_MFLUCC_18_0495	169	0.000	0.047	KEEP
Ophiocordyceps_communis_BCC2754	169	0.000	0.053	KEEP
Tolypocladium_inflatum_CBS127302	169	0.000	0.053	KEEP
Ophiocordyceps_ditmarii_WU42993	169	0.000	0.036	KEEP
Ophiocordyceps_aphrophoridarum_YTS19061907	169	0.000	0.089	KEEP
Ophiocordyceps_asiana_MY11878	169	0.000	0.071	KEEP
Ophiocordyceps_arborescens_NBRC_105891	169	0.000	0.053	KEEP
Ophiocordyceps_macroacicularis_NBRC_100685	169	0.000	0.053	KEEP
Ophiocordyceps_cylindrospora_MFLU_17_1961	167	0.000	0.078	KEEP
Ophiocordyceps_laotii_BCC76495	169	0.000	0.053	KEEP
Ophiocordyceps_poecilometigena_BRIP_62634a	169	0.000	0.077	KEEP
Ophiocordyceps_muscidarum_HKAS132178	169	0.000	0.041	KEEP
Ophiocordyceps_floriformis_BBH51295	169	0.000	0.036	KEEP
Ophiocordyceps_muscae_BCC73616	169	0.000	0.041	KEEP
Ophiocordyceps_tabani_BCC45127	169	0.000	0.041	KEEP
Ophiocordyceps_thilosuensis_BCC46607	169	0.000	0.053	KEEP
Ophiocordyceps_melolonthae_iNAT_13875275	169	0.000	0.059	KEEP
Ophiocordyceps_buquetii_BCC93053	169	0.000	0.036	KEEP
Ophiocordyceps_camponoti_MFLU_22_0269	169	0.000	0.095	KEEP
Ophiocordyceps_pseudolloydii_MFLU_22_0266	167	0.000	0.090	KEEP
Ophiocordyceps_thanathonensis_HKAS126078	167	0.000	0.048	KEEP
