Sample	Marker	Rank	Size	SeqID	QueryID	Sequence	FoundMarkerBLAST	SubjectID	SubjectTitle	Pident	AlignLength	Bitscore	Evalue	TaxID	Kingdom	Phylum	Class	Order	Family	Genus	Species
203_A	tef	1	222	Uniq1	203_A|Uniq1;size=222	b8a6940aac72115456e202f1a2c53f1e	TEF	gi|109628458|gb|DQ522331.1|	Cordyceps melolonthae strain OSC 110993 translation elongation factor 1-alpha (EF1-alpha) gene, partial cds	99.187	246	444	1.18e-121	386286		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps melolonthae
203_A	tef	2	193	Uniq2	203_A|Uniq2;size=193	87aa07269871564b5b0d1e6e62a9e31d	TEF	gi|109628458|gb|DQ522331.1|	Cordyceps melolonthae strain OSC 110993 translation elongation factor 1-alpha (EF1-alpha) gene, partial cds	98.780	246	438	5.47e-120	386286		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps melolonthae
204_B	tef	1	2191	Uniq1	204_B|Uniq1;size=2191	e745816894265cfe92246f201559faee	TEF	gi|1325793199|emb|LT971394.1|	Chaetomiaceae sp. AN-2017 partial tef1a gene for translation elongation factor 1 alpha, strain CCF:5688	92.276	246	350	2.64e-93	2052686		Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Arxotrichum	Arxotrichum wyomingense
204_B	tef	2	1832	Uniq2	204_B|Uniq2;size=1832	5131b840aeff7295164e226d87c39146	TEF	gi|1325793199|emb|LT971394.1|	Chaetomiaceae sp. AN-2017 partial tef1a gene for translation elongation factor 1 alpha, strain CCF:5688	91.870	246	344	1.23e-91	2052686		Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Arxotrichum	Arxotrichum wyomingense
205_A	tef	1	5300	Uniq1	205_A|Uniq1;size=5300	e7729a069f67d7993e3e189407a8a604	TEF	gi|109628461|gb|DQ522333.1|	Cordyceps nutans strain OSC 110994 translation elongation factor 1-alpha (EF1-alpha) gene, partial cds	99.593	246	449	2.53e-123	87751		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps nutans
205_A	tef	2	4325	Uniq2	205_A|Uniq2;size=4325	42dd671a5837f427a21c2c04ac36a80a	TEF	gi|109628461|gb|DQ522333.1|	Cordyceps nutans strain OSC 110994 translation elongation factor 1-alpha (EF1-alpha) gene, partial cds	100.000	246	455	5.43e-125	87751		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps nutans
206_A	tef	1	3	Uniq1	206_A|Uniq1;size=3	3521448174459fec1b5d63c34dd96f92	TEF	gi|2442402305|gb|OQ186384.1|	Ophiocordyceps nutans voucher HKAS:102461 translation elongation factor 1-alpha (tef1a) gene, partial cds	99.593	246	449	2.53e-123	87751		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps nutans
206_A	tef	2	1	Uniq2	206_A|Uniq2;size=1	f48d0eeeda0d4cc9286bdd9057b624e5	TEF	gi|2442402305|gb|OQ186384.1|	Ophiocordyceps nutans voucher HKAS:102461 translation elongation factor 1-alpha (tef1a) gene, partial cds	99.187	246	444	1.18e-121	87751		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps nutans
203_A	ssu	1	16600	Uniq1	203_A|Uniq1;size=16600	cf31270fbc5f9a65a1569bf31f7c63a1	SSU	gi|106073457|gb|DQ522548.1|	Cordyceps melolonthae strain OSC 110993 small subunit ribosomal RNA gene, partial sequence	99.275	276	499	2.82e-138	386286		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps melolonthae
203_A	ssu	2	8420	Uniq2	203_A|Uniq2;size=8420	4e0fb761c1dd7e141aef634e67c36716	SSU	gi|106073457|gb|DQ522548.1|	Cordyceps melolonthae strain OSC 110993 small subunit ribosomal RNA gene, partial sequence	99.273	275	497	1.01e-137	386286		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps melolonthae
