Header	SitesConsidered	N_Prop	Mismatch_Prop	Decision
Ophiocordyceps_tricentri_CEM160	316	0.000	0.028	KEEP
Ophiocordyceps_agriotidis_ARSEF5692	316	0.000	0.009	KEEP
Ophiocordyceps_aphodii_ARSEF5498	316	0.000	0.022	KEEP
Ophiocordyceps_brunneipunctata_OSC128576	316	0.000	0.009	KEEP
Ophiocordyceps_acicularis_OSC128580	316	0.000	0.019	KEEP
Ophiocordyceps_melolonthae_OSC110993	316	0.000	0.013	KEEP
Ophiocordyceps_nutans_OSC110994	316	0.000	0.047	KEEP
Ophiocordyceps_ravenelii_OSC110995	316	0.000	0.041	KEEP
Ophiocordyceps_sphecocephala_OSC110998	316	0.000	0.038	KEEP
Ophiocordyceps_stylophora_OSC111000	316	0.000	0.013	KEEP
Ophiocordyceps_unilateralis_s_s_OSC128574	316	0.000	0.032	KEEP
Ophiocordyceps_variabilis_ARSEF5365	312	0.000	0.013	KEEP
Ophiocordyceps_megacuculla_OSC128578	316	0.000	0.038	KEEP
Ophiocordyceps_entomorrhiza_KEW53484	316	0.000	0.016	KEEP
Ophiocordyceps_gracilis_EFCC3101	316	0.000	0.025	KEEP
Ophiocordyceps_heteropoda_EFCC10125	316	0.000	0.006	KEEP
Ophiocordyceps_konnoana_EFCC7315	174	0.006	0.029	KEEP
Ophiocordyceps_nigrella_EFCC9247	316	0.000	0.041	KEEP
Ophiocordyceps_rhizoidea_NHJ12529	316	0.000	0.006	KEEP
Ophiocordyceps_sinensis_EFCC7287	154	0.000	0.019	KEEP
Ophiocordyceps_sobolifera_KEW78842	316	0.000	0.013	KEEP
Ophiocordyceps_communis_NHJ12581	316	0.000	0.044	KEEP
Ophiocordyceps_granospora_OSC128579	316	0.000	0.038	KEEP
Ophiocordyceps_pruinosa_NHJ12994	316	0.000	0.009	KEEP
Ophiocordyceps_pulvinata_TNS_F30044	316	0.000	0.028	KEEP
Ophiocordyceps_nutans_NBRC101749	316	0.000	0.047	KEEP
Ophiocordyceps_nutans_NBRC100944	316	0.000	0.047	KEEP
Ophiocordyceps_australis_HUA186147	316	0.000	0.041	KEEP
Ophiocordyceps_araracuarensis_HUA186135	316	0.000	0.009	KEEP
Ophiocordyceps_ponerinarum_HUA186140	316	0.000	0.019	KEEP
Ophiocordyceps_tiputini_QCNE186287	179	0.000	0.050	KEEP
Ophiocordyceps_fulgoromorphila_HUA186139	316	0.000	0.076	KEEP
Ophiocordyceps_evansii_HUA186159	316	0.000	0.054	KEEP
Ophiocordyceps_polyrhachis_furcata_P39	316	0.000	0.035	KEEP
Ophiocordyceps_camponoti_leonardi_C36	316	0.000	0.028	KEEP
Ophiocordyceps_camponoti_saundersi_C340	316	0.000	0.035	KEEP
Ophiocordyceps_formosana_TNM_F13893	316	0.000	0.019	KEEP
Ophiocordyceps_forquignonii_OSC151902	316	0.000	0.035	KEEP
Ophiocordyceps_annulata_CEM303	316	0.000	0.013	KEEP
Ophiocordyceps_clavata_CEM1762	316	0.000	0.095	KEEP
Ophiocordyceps_cochlidiicola_HMAS199612	316	0.000	0.019	KEEP
Ophiocordyceps_curculionum_OSC151910	316	0.000	0.051	KEEP
Ophiocordyceps_dipterigena_CEM151911	316	0.000	0.041	KEEP
Ophiocordyceps_formicarum_TNS_F18565	316	0.000	0.038	KEEP
Ophiocordyceps_lloydii_OSC151913	316	0.000	0.047	KEEP
Ophiocordyceps_longissima_TNS_F18448	316	0.000	0.019	KEEP
Ophiocordyceps_khaoyaensis_HMAS199620	312	0.000	0.035	KEEP
Ophiocordyceps_neovolkiana_OSC151903	316	0.000	0.013	KEEP
Ophiocordyceps_purpureostromata_TNS_F18430	316	0.000	0.032	KEEP
Ophiocordyceps_sp_OSC151909	308	0.000	0.019	KEEP
Ophiocordyceps_yakusimensis_HMAS199604	270	0.000	0.015	KEEP
Ophiocordyceps_buquetii_HMAS199617	309	0.000	0.036	KEEP
Ophiocordyceps_blattarioides_HUA186093	281	0.000	0.025	KEEP
Ophiocordyceps_amazonica_HUA186143	180	0.000	0.039	KEEP
Ophiocordyceps_rami_MY6736	316	0.000	0.063	KEEP
Ophiocordyceps_halabalaensis_MY5151	316	0.000	0.032	KEEP
Ophiocordyceps_kimflemingiae_SC30	316	0.000	0.032	KEEP
Ophiocordyceps_albacongiuae_RC20	316	0.000	0.028	KEEP
Ophiocordyceps_camponoti_renggeri_ORENG	316	0.000	0.032	KEEP
Ophiocordyceps_oecophyllae_OECO1	316	0.000	0.022	KEEP
Ophiocordyceps_camponoti_bispinosi_OBIS5	316	0.000	0.025	KEEP
Ophiocordyceps_camponoti_nidulantis_NIDUL2	316	0.000	0.035	KEEP
Ophiocordyceps_blakebarnesii_MISSOU5	316	0.000	0.028	KEEP
Ophiocordyceps_monacidis_MF74	316	0.000	0.035	KEEP
Ophiocordyceps_satoi_J19	316	0.000	0.041	KEEP
Ophiocordyceps_ootakii_J13	316	0.000	0.035	KEEP
Ophiocordyceps_camponoti_indiani_INDI2	316	0.000	0.032	KEEP
Ophiocordyceps_camponoti_hippocrepidis_HIPPOC	316	0.000	0.025	KEEP
Ophiocordyceps_camponoti_balzani_G143	316	0.000	0.022	KEEP
Ophiocordyceps_camponoti_rufipedis_G108	316	0.000	0.032	KEEP
Ophiocordyceps_camponoti_floridani_Flo4	316	0.000	0.032	KEEP
Ophiocordyceps_camponoti_femorati_FEMO2	316	0.000	0.032	KEEP
Ophiocordyceps_naomipierceae_DAWKSANT	316	0.000	0.032	KEEP
Ophiocordyceps_camponoti_atricipis_ATRI3	316	0.000	0.032	KEEP
Ophiocordyceps_sp_cicada_symbiont_CatKNZ01_OP	316	0.000	0.025	KEEP
Ophiocordyceps_diabolica_BDS32	316	0.000	0.044	KEEP
Ophiocordyceps_corriemoreau_C2014A	312	0.000	0.035	KEEP
Ophiocordyceps_pseudomyrmexi_P_10B1	312	0.000	0.035	KEEP
Ophiocordyceps_paltothyrei_Palt2	316	0.000	0.038	KEEP
Ophiocordyceps_kniphofioides_MF90	309	0.000	0.019	KEEP
Ophiocordyceps_humbertii_MF116A_MF116A	309	0.000	0.016	KEEP
Ophiocordyceps_nutans_HKAS102461	316	0.000	0.047	KEEP
Ophiocordyceps_nutans_GMBC3024	316	0.000	0.044	KEEP
Ophiocordyceps_nutans_iNaturalist84633145	316	0.000	0.051	KEEP
Ophiocordyceps_nutans_iNaturalist84633564	316	0.000	0.051	KEEP
Ophiocordyceps_appendiculata_NBRC106959	316	0.000	0.013	KEEP
Ophiocordyceps_arborescens_NBRC105890	279	0.000	0.563	REMOVE
Ophiocordyceps_crinalis_GDGM17327	316	0.000	0.016	KEEP
Ophiocordyceps_daceti_MF01	316	0.000	0.019	KEEP
Ophiocordyceps_lanpingensis_YHOL0705	278	0.000	0.568	REMOVE
Ophiocordyceps_macroacicularis_NBRC105888	279	0.000	0.559	REMOVE
Ophiocordyceps_odonatae_TNS_F18563	303	0.000	0.548	REMOVE
Ophiocordyceps_pseudolloydii_Pseu1	289	0.000	0.536	REMOVE
Ophiocordyceps_ramosissimum_GZUHHN8	316	0.000	0.009	KEEP
Ophiocordyceps_robertsii_KEW27083	316	0.000	0.009	KEEP
Ophiocordyceps_rubiginosiperitheciata_NBRC100946	316	0.000	0.013	KEEP
Ophiocordyceps_spataforae_NHJ12525	316	0.000	0.013	KEEP
Ophiocordyceps_thanathonensis_MFU16_2909	303	0.000	0.548	REMOVE
Ophiocordyceps_xuefengensis_GZUHHN13	277	0.000	0.563	REMOVE
Ophiocordyceps_nutans_YU0412	313	0.000	0.543	REMOVE
Ophiocordyceps_nutans_HMJAU63522	307	0.000	0.537	REMOVE
Ophiocordyceps_nutans_Liyi2048	311	0.016	0.547	REMOVE
Ophiocordyceps_nutans_KA12_1340	306	0.000	0.539	REMOVE
Ophiocordyceps_nutans_XS58	314	0.000	0.551	REMOVE
Ophiocordyceps_nutans_CPA50	314	0.000	0.551	REMOVE
Ophiocordyceps_nutans_wydzl_2021_5_1	307	0.000	0.537	REMOVE
Ophiocordyceps_nutans_KACC500169	309	0.000	0.560	REMOVE
Ophiocordyceps_nutans_HB0202	280	0.000	0.575	REMOVE
Ophiocordyceps_nutans20886	298	0.003	0.557	REMOVE
