Header	SitesConsidered	N_Prop	Mismatch_Prop	Decision
Ophiocordyceps_arborescens_NBRC_105890	203	0.000	0.099	KEEP
Ophiocordyceps_macroacicularis_NBRC_105888	203	0.000	0.089	KEEP
Ophiocordyceps_appendiculata_NBRC106959	203	0.000	0.094	KEEP
Ophiocordyceps_rubiginosiperitheciata_NBRC100946	203	0.000	0.108	KEEP
Ophiocordyceps_nutans_NBRC100944	203	0.000	0.099	KEEP
Ophiocordyceps_nutans_NBRC_101749	203	0.000	0.099	KEEP
Ophiocordyceps_tricentri_NBRC_106968	203	0.000	0.094	KEEP
Tolypocladium_ophioglossoides_NBRC_106330	203	0.000	0.079	KEEP
Tolypocladium_capitatum_OSC71233	203	0.000	0.069	KEEP
Ophiocordyceps_agriotidis_ARSEF5692	203	0.000	0.118	KEEP
Ophiocordyceps_aphodii_ARSEF5498	203	0.000	0.103	KEEP
Ophiocordyceps_brunneipunctata_OSC128576	203	0.000	0.128	KEEP
Ophiocordyceps_acicularis_OSC128580	203	0.000	0.099	KEEP
Ophiocordyceps_melolonthae_OSC110993	203	0.000	0.089	KEEP
Ophiocordyceps_nutans_OSC110994	203	0.000	0.069	KEEP
Ophiocordyceps_ravenelii_OSC110995	203	0.000	0.089	KEEP
Ophiocordyceps_sphecocephala_OSC110998	203	0.000	0.128	KEEP
Ophiocordyceps_stylophora_OSC111000	203	0.000	0.099	KEEP
Ophiocordyceps_unilateralis_OSC128574	202	0.005	0.074	KEEP
Ophiocordyceps_variabilis_ARSEF5365	85	0.000	0.059	KEEP_LOW_SITES
Ophiocordyceps_irangiensis_OSC128578	203	0.000	0.138	KEEP
Ophiocordyceps_elongata_OSC110989	203	0.000	0.079	KEEP
Ophiocordyceps_entomorrhiza_KEW53484	203	0.000	0.074	KEEP
Ophiocordyceps_gracilis_EFCC3101	203	0.000	0.074	KEEP
Ophiocordyceps_heteropoda_EFCC10125	203	0.000	0.074	KEEP
Ophiocordyceps_konnoana_EFCC7315	203	0.000	0.094	KEEP
Ophiocordyceps_nigrella_EFCC9247	203	0.000	0.094	KEEP
Ophiocordyceps_rhizoidea_NHJ12529	203	0.000	0.089	KEEP
Ophiocordyceps_robertsii_KEW27083	203	0.000	0.089	KEEP
Ophiocordyceps_sinensis_EFCC7287	203	0.000	0.084	KEEP
Ophiocordyceps_communis_NHJ12581	203	0.000	0.094	KEEP
Ophiocordyceps_granospora_OSC128579	203	0.000	0.143	KEEP
Ophiocordyceps_spataforae_NHJ12525	203	0.000	0.128	KEEP
Ophiocordyceps_pruinosa_NHJ12994	203	0.000	0.084	KEEP
Ophiocordyceps_halabalaensis_MY1308	203	0.000	0.089	KEEP
Ophiocordyceps_pulvinata_TNS_F_30044	203	0.000	0.084	KEEP
Ophiocordyceps_polyrhachis_Po21	203	0.000	0.103	KEEP
Ophiocordyceps_camponoti_Co25	203	0.000	0.099	KEEP
Ophiocordyceps_camponoti_Co24	203	0.000	0.099	KEEP
Ophiocordyceps_lanpingensis_YHOS0705	203	0.000	0.084	KEEP
Ophiocordyceps_fulgoromorphila_Ophara717	203	0.000	0.094	KEEP
Ophiocordyceps_australis_Ophaus774	203	0.000	0.113	KEEP
Ophiocordyceps_australis_Ophaus926	203	0.000	0.123	KEEP
Ophiocordyceps_evansii_Ophsp_858	203	0.000	0.089	KEEP
Ophiocordyceps_araracuarensis_Ophful696	203	0.000	0.084	KEEP
Ophiocordyceps_ponerinarum_Ophkni790	203	0.000	0.094	KEEP
Ophiocordyceps_gracillisima_Ophgrc679	203	0.000	0.084	KEEP
Ophiocordyceps_tiputini_Ophtip11465	203	0.000	0.069	KEEP
Ophiocordyceps_xuefengensis_GZUHHN13	203	0.000	0.108	KEEP
Ophiocordyceps_crinalis_GDGM17327	203	0.000	0.113	KEEP
Ophiocordyceps_ramosissimum_GZUHHN8	203	0.000	0.099	KEEP
Ophiocordyceps_rami_MY6736	203	0.000	0.103	KEEP
Ophiocordyceps_formosana_TNM_F13893	203	0.000	0.084	KEEP
Tolypocladium_ophioglossoides_CBS100239	203	0.000	0.074	KEEP
Ophiocordyceps_annulata_CEM303	203	0.000	0.074	KEEP
Ophiocordyceps_clavata_CEM1762	203	0.000	0.084	KEEP
Ophiocordyceps_cochlidiicola_HMAS199612	203	0.000	0.108	KEEP
Ophiocordyceps_dipterigena_OSC151911	203	0.000	0.099	KEEP
Ophiocordyceps_dipterigena_OSC151912	203	0.000	0.099	KEEP
Ophiocordyceps_formicarum_TNS_F18565	203	0.000	0.079	KEEP
Ophiocordyceps_lloydii_OSC151913	203	0.000	0.143	KEEP
Ophiocordyceps_longissima_TNS_F18448	203	0.000	0.084	KEEP
Ophiocordyceps_myrmecophila_HMAS199620	203	0.000	0.128	KEEP
Ophiocordyceps_neovolkiana_OSC151903	203	0.000	0.099	KEEP
Ophiocordyceps_purpureostromata_TNS_F18430	203	0.000	0.099	KEEP
Ophiocordyceps_sp_OSC151909	203	0.000	0.079	KEEP
Ophiocordyceps_buquetii_HMAS199613	203	0.000	0.074	KEEP
Ophiocordyceps_buquetii_HMAS199617	203	0.000	0.074	KEEP
Ophiocordyceps_amazonica_Ophama2026	203	0.000	0.108	KEEP
Ophiocordyceps_blattarioides_Ophbla014	203	0.000	0.074	KEEP
Hirsutella_citriformis_ARSEF1446	203	0.000	0.069	KEEP
Ophiocordyceps_daceti_MF01	203	0.000	0.079	KEEP
Ophiocordyceps_camponoti_NIDUL2	203	0.000	0.084	KEEP
Ophiocordyceps_albacongiuae_RC20	203	0.000	0.089	KEEP
Ophiocordyceps_camponoti_ORENG	203	0.000	0.064	KEEP
Ophiocordyceps_camponoti_HIPPOC	202	0.005	0.069	KEEP
Ophiocordyceps_camponoti_Flx2	203	0.000	0.069	KEEP
Ophiocordyceps_camponoti_ATRI3	203	0.000	0.074	KEEP
Ophiocordyceps_camponoti_FEMO2	203	0.000	0.064	KEEP
Ophiocordyceps_camponoti_G108	203	0.000	0.059	KEEP
Ophiocordyceps_ootakii_J13	203	0.000	0.099	KEEP
Ophiocordyceps_satoi_J19	203	0.000	0.084	KEEP
Ophiocordyceps_blakebarnesii_MISSOU5	203	0.000	0.074	KEEP
Ophiocordyceps_camponoti_G143	203	0.000	0.089	KEEP
Ophiocordyceps_camponoti_OBIS5	203	0.000	0.089	KEEP
Ophiocordyceps_kimflemingiae_SC30	203	0.000	0.099	KEEP
Ophiocordyceps_sp_CatKNZ01_OP	203	0.000	0.089	KEEP
Ophiocordyceps_kniphofioides_HUA_TSF790	203	0.000	0.084	KEEP
Ophiocordyceps_pseudoacicularis_BCC49256	203	0.000	0.128	KEEP
Ophiocordyceps_geometridicola_BCC35947	203	0.000	0.094	KEEP
Ophiocordyceps_pauciovoperitheciata_BCC53615	203	0.000	0.123	KEEP
Ophiocordyceps_brunneanigra_BCC69032	203	0.000	0.094	KEEP
Ophiocordyceps_multiperitheciata_BCC22861	203	0.000	0.108	KEEP
Ophiocordyceps_brunneaperitheciata_BCC49312	203	0.000	0.103	KEEP
Ophiocordyceps_thanathonensis_MFLUCC_16_2909	203	0.000	0.128	KEEP
