Header	SitesConsidered	N_Prop	Mismatch_Prop	Decision
Ophiocordyceps_tricentri_CEM160	567	0.000	0.074	KEEP
Ophiocordyceps_pulvinata_Ophiocordyceps_pulvinata_gene_for_28S_ribosomal_RNA_partial_sequence	418	0.000	0.105	KEEP
Ophiocordyceps_nutans_NBRC_101749	471	0.000	0.541	REMOVE
Ophiocordyceps_arborescens_NBRC_105890	568	0.000	0.048	KEEP
Ophiocordyceps_macroacicularis_NBRC_105888	568	0.000	0.051	KEEP
Ophiocordyceps_tricentri_NBRC_106968	567	0.000	0.076	KEEP
Ophiocordyceps_nutans_KACC500169	386	0.000	0.492	REMOVE
Ophiocordyceps_nutans_G97033	452	0.000	0.549	REMOVE
Ophiocordyceps_nutans_G97035	471	0.000	0.548	REMOVE
Ophiocordyceps_agriotidis_ARSEF5692	552	0.000	0.065	KEEP
Ophiocordyceps_aphodii_ARSEF5498	555	0.000	0.095	KEEP
Ophiocordyceps_brunneipunctata_OSC128576	568	0.000	0.072	KEEP
Ophiocordyceps_acicularis_OSC128580	568	0.000	0.053	KEEP
Ophiocordyceps_melolonthae_OSC110993	567	0.000	0.072	KEEP
Ophiocordyceps_nutans_OSC110994	567	0.000	0.122	KEEP
Ophiocordyceps_ravenelii_OSC110995	566	0.000	0.099	KEEP
Ophiocordyceps_sphecocephala_OSC110998	567	0.000	0.090	KEEP
Ophiocordyceps_stylophora_OSC111000	568	0.000	0.053	KEEP
Ophiocordyceps_unilateralis_OSC128574	568	0.000	0.100	KEEP
Ophiocordyceps_variabilis_ARSEF5365	568	0.000	0.065	KEEP
Ophiocordyceps_irangiensis_OSC128578	568	0.000	0.106	KEEP
Ophiocordyceps_elongata_OSC110989	568	0.000	0.065	KEEP
Ophiocordyceps_entomorrhiza_KEW53484	568	0.000	0.070	KEEP
Ophiocordyceps_gracilis_EFCC3101	567	0.000	0.079	KEEP
Ophiocordyceps_heteropoda_EFCC10125	568	0.000	0.065	KEEP
Ophiocordyceps_nigrella_EFCC9247	568	0.000	0.097	KEEP
Ophiocordyceps_rhizoidea_NHJ12529	568	0.000	0.067	KEEP
Ophiocordyceps_robertsii_KEW27083	568	0.000	0.051	KEEP
Ophiocordyceps_sinensis_EFCC7287	430	0.000	0.065	KEEP
Ophiocordyceps_sobolifera_KEW78842	568	0.000	0.060	KEEP
Hirsutella_citriformis_NHJ12118	568	0.000	0.079	KEEP
Ophiocordyceps_communis_NHJ12581	568	0.000	0.074	KEEP
Ophiocordyceps_granospora_OSC128579	566	0.002	0.102	KEEP
Ophiocordyceps_spataforae_NHJ12525	568	0.000	0.065	KEEP
Ophiocordyceps_formosana_HS0825_01	474	0.000	0.519	REMOVE
Ophiocordyceps_pruinosa_NHJ12994	568	0.000	0.086	KEEP
Ophiocordyceps_halabalaensis_MY5151	480	0.000	0.523	REMOVE
Ophiocordyceps_appendiculata_NBRC106959	568	0.000	0.051	KEEP
Ophiocordyceps_nutans_NBRC100944	566	0.000	0.140	KEEP
Ophiocordyceps_rubiginosiperitheciata_NBRC100946	479	0.000	0.516	REMOVE
Ophiocordyceps_lanpingensis_YHOS0705	568	0.000	0.051	KEEP
Ophiocordyceps_fulgoromorphila_Ophara717	556	0.000	0.113	KEEP
Ophiocordyceps_australis_Ophaus774	568	0.000	0.102	KEEP
Ophiocordyceps_australis_Ophaus926	568	0.000	0.111	KEEP
Ophiocordyceps_ponerinarum_Ophkni790	558	0.000	0.147	KEEP
Ophiocordyceps_gracillisima_Ophgrc679	568	0.000	0.072	KEEP
Ophiocordyceps_araracuarensis_Ophful696	554	0.000	0.060	KEEP
Ophiocordyceps_evansii_Ophsp_858	505	0.000	0.127	KEEP
Ophiocordyceps_tiputini_Ophtip11465	558	0.000	0.059	KEEP
Ophiocordyceps_xuefengensis_GZUHHN13	484	0.000	0.517	REMOVE
Ophiocordyceps_crinalis_GDGM17327	568	0.000	0.060	KEEP
Tolypocladium_ophioglossoides_CBS100239	568	0.000	0.067	KEEP
Ophiocordyceps_forquignonii_OSC151902	568	0.000	0.060	KEEP
Ophiocordyceps_odonatae_TNS_F18563	568	0.000	0.079	KEEP
Ophiocordyceps_annulata_CEM303	560	0.000	0.243	KEEP
Ophiocordyceps_clavata_CEM1762	568	0.000	0.085	KEEP
Ophiocordyceps_cochlidiicola_HMAS199612	568	0.000	0.058	KEEP
Ophiocordyceps_curculionum_OSC151910	564	0.000	0.135	KEEP
Ophiocordyceps_dipterigena_OSC151911	555	0.000	0.124	KEEP
Ophiocordyceps_dipterigena_OSC151912	555	0.000	0.126	KEEP
Ophiocordyceps_formicarum_TNS_F18565	568	0.000	0.076	KEEP
Ophiocordyceps_lloydii_OSC151913	563	0.000	0.126	KEEP
Ophiocordyceps_longissima_TNS_F18448	568	0.000	0.051	KEEP
Ophiocordyceps_myrmecophila_HMAS199620	558	0.000	0.102	KEEP
Ophiocordyceps_neovolkiana_OSC151903	568	0.000	0.062	KEEP
Ophiocordyceps_purpureostromata_TNS_F18430	567	0.000	0.076	KEEP
Ophiocordyceps_sp_OSC151909	567	0.000	0.065	KEEP
Ophiocordyceps_yakusimensis_HMAS199604	531	0.000	0.066	KEEP
Ophiocordyceps_buquetii_HMAS199613	567	0.000	0.093	KEEP
Ophiocordyceps_buquetii_HMAS199617	567	0.000	0.093	KEEP
Ophiocordyceps_nutans_Oph994	556	0.000	0.103	KEEP
Ophiocordyceps_blattarioides_Ophbla014	566	0.000	0.088	KEEP
Ophiocordyceps_amazonica_Ophama2026	550	0.000	0.071	KEEP
Tolypocladium_capitatum_ARSEF1446	568	0.000	0.060	KEEP
Ophiocordyceps_neonutans_KEL114	448	0.000	0.516	REMOVE
Ophiocordyceps_neonutans_FMF88	448	0.000	0.516	REMOVE
Ophiocordyceps_neonutans_KEL138	448	0.000	0.516	REMOVE
Ophiocordyceps_camponoti_ATRI3	568	0.000	0.099	KEEP
Ophiocordyceps_naomipierceae_DAWKSANT	568	0.000	0.100	KEEP
Ophiocordyceps_camponoti_FEMO2	568	0.000	0.097	KEEP
Ophiocordyceps_camponoti_Flo4	568	0.000	0.102	KEEP
Ophiocordyceps_camponoti_G108	568	0.000	0.099	KEEP
Ophiocordyceps_camponoti_G143	568	0.000	0.088	KEEP
Ophiocordyceps_camponoti_HIPPOC	568	0.000	0.088	KEEP
Ophiocordyceps_camponoti_INDI2	568	0.000	0.099	KEEP
Ophiocordyceps_ootakii_J13	568	0.000	0.100	KEEP
Ophiocordyceps_satoi_J19	568	0.000	0.102	KEEP
Ophiocordyceps_daceti_MF01	568	0.000	0.081	KEEP
Ophiocordyceps_monacidis_MF74	568	0.000	0.067	KEEP
Ophiocordyceps_blakebarnesii_MISSOU5	568	0.000	0.090	KEEP
Ophiocordyceps_camponoti_NIDUL2	568	0.000	0.104	KEEP
Ophiocordyceps_camponoti_OBIS5	568	0.000	0.088	KEEP
Ophiocordyceps_camponoti_ORENG	568	0.000	0.097	KEEP
Ophiocordyceps_kimflemingiae_SC30	568	0.000	0.086	KEEP
Ophiocordyceps_sp_CatKNZ01_OP	508	0.000	0.098	KEEP
Ophiocordyceps_pseudoacicularis_BCC49256	568	0.000	0.055	KEEP
Ophiocordyceps_geometridicola_BCC35947	568	0.000	0.058	KEEP
Ophiocordyceps_pauciovoperitheciata_BCC53615	568	0.000	0.056	KEEP
Ophiocordyceps_brunneanigra_BCC69032	568	0.000	0.062	KEEP
Ophiocordyceps_multiperitheciata_BCC22861	568	0.000	0.058	KEEP
Ophiocordyceps_brunneaperitheciata_BCC49312	568	0.000	0.083	KEEP
Ophiocordyceps_thanathonensis_MFLU_16_2910	568	0.000	0.102	KEEP
Ophiocordyceps_cylindrospora_MFLU_17_1961	568	0.000	0.111	KEEP
Ophiocordyceps_khaoyaiensis_BCC82796	568	0.000	0.102	KEEP
Ophiocordyceps_granospora_BCC82255	568	0.000	0.102	KEEP
Ophiocordyceps_megacuculla_BCC82258	568	0.000	0.106	KEEP
Ophiocordyceps_nutans_420526MF0525	508	0.000	0.114	KEEP
Ophiocordyceps_nutans_420526MF0895	508	0.000	0.122	KEEP
Ophiocordyceps_globiceps_MFLUCC_18_0495	563	0.000	0.089	KEEP
Tolypocladium_inflatum_CBS127147	378	0.000	0.500	REMOVE
Ophiocordyceps_diabolica_BDS32	568	0.000	0.086	KEEP
Ophiocordyceps_binata_Binat	559	0.000	0.122	KEEP
Ophiocordyceps_corriemoreauae_C2014A	567	0.000	0.065	KEEP
Ophiocordyceps_odontomachi_Odonto1	562	0.000	0.101	KEEP
Ophiocordyceps_pseudomyrmicis_P10B1	567	0.000	0.065	KEEP
Ophiocordyceps_paltothyrei_Palt1	562	0.000	0.112	KEEP
Ophiocordyceps_paltothyrei_Palt2	562	0.000	0.114	KEEP
Ophiocordyceps_nutans_MHHNU30295	419	0.000	0.578	REMOVE
Ophiocordyceps_humbertii_MF116A	561	0.000	0.098	KEEP
Ophiocordyceps_kniphofioides_MF90	562	0.000	0.085	KEEP
Ophiocordyceps_vespulae_GZUCC2017064	568	0.000	0.081	KEEP
Ophiocordyceps_mizoramensis_OCCMZ001	568	0.000	0.113	KEEP
Ophiocordyceps_nutans_11BidoupNLU	434	0.000	0.171	KEEP
Ophiocordyceps_nutans_12BidoupNLU	387	0.000	0.178	KEEP
Ophiocordyceps_nutans_15BidoupNLU	394	0.000	0.183	KEEP
Ophiocordyceps_ditmarii_WU42993	568	0.000	0.060	KEEP
Ophiocordyceps_aphrophoridarum_YTS19061907	568	0.000	0.077	KEEP
Ophiocordyceps_asiana_MY11878	566	0.000	0.168	KEEP
Ophiocordyceps_nutans_Liyi2048	465	0.015	0.544	REMOVE
Ophiocordyceps_laotii_BCC76495	568	0.000	0.107	KEEP
Ophiocordyceps_nutans_HKAS122491	435	0.000	0.561	REMOVE
Ophiocordyceps_nutans_CPA50	471	0.000	0.541	REMOVE
Ophiocordyceps_nutans_XS58	471	0.000	0.541	REMOVE
Ophiocordyceps_pseudolloydii_HKAS126055	568	0.000	0.100	KEEP
Ophiocordyceps_oxycephala_KUMCC5193	568	0.000	0.086	KEEP
Ophiocordyceps_nutans_HKAS_102461	568	0.000	0.129	KEEP
Ophiocordyceps_pseudolloydii_MFLU_22_0266	568	0.000	0.100	KEEP
Ophiocordyceps_thanathonensis_HKAS_102442	568	0.000	0.100	KEEP
Ophiocordyceps_nutans_HKAS126065	440	0.000	0.568	REMOVE
Ophiocordyceps_nutans_HKAS126074	440	0.000	0.568	REMOVE
Ophiocordyceps_nutans_HKAS126077	440	0.000	0.568	REMOVE
Ophiocordyceps_nutans_HMJAU63522	458	0.000	0.559	REMOVE
Ophiocordyceps_aseptatospora_GZAAS_22_2052	568	0.000	0.079	KEEP
Ophiocordyceps_camponoti_YFCC9028	568	0.000	0.102	KEEP
Ophiocordyceps_oecophyllae_BRIP62635a	567	0.000	0.086	KEEP
Ophiocordyceps_pseudonutans_HAKS131087	568	0.000	0.127	KEEP
Ophiocordyceps_nutans_NXS92	386	0.000	0.560	REMOVE
Ophiocordyceps_tessaratomidarum_GMBC3025	564	0.000	0.144	KEEP
Ophiocordyceps_anshunensis_GMBC3026	568	0.000	0.134	KEEP
Ophiocordyceps_nutans_GMBC3024	459	0.000	0.566	REMOVE
Ophiocordyceps_nutans_FI935	395	0.000	0.190	KEEP
Ophiocordyceps_nutans_FI942	557	0.000	0.162	KEEP
Ophiocordyceps_nutans_YU0412	456	0.000	0.553	REMOVE
Ophiocordyceps_muscidarum_HKAS132178	567	0.000	0.083	KEEP
Ophiocordyceps_bannaensis_ant_of_Camponotus_sp	568	0.000	0.097	KEEP
Ophiocordyceps_nutans_iNaturalist_84633145	568	0.000	0.104	KEEP
Ophiocordyceps_nutans_iNaturalist_84633564	568	0.000	0.106	KEEP
Ophiocordyceps_nutans_SICAU_24_0164_1	566	0.000	0.140	KEEP
Ophiocordyceps_nutans_SICAU_24_0165	566	0.000	0.140	KEEP
Ophiocordyceps_anocheti_HKAS132231	567	0.000	0.086	KEEP
Ophiocordyceps_floriformis_BBH51295	567	0.000	0.088	KEEP
Ophiocordyceps_muscae_BBC73607	566	0.000	0.090	KEEP
Ophiocordyceps_philippinensis_BBC22048	567	0.000	0.090	KEEP
Ophiocordyceps_tabani_BBC45127	567	0.000	0.085	KEEP
Ophiocordyceps_thilosuensis_BBC47494	568	0.000	0.106	KEEP
Ophiocordyceps_calliphoridarum_GMB3129	567	0.000	0.083	KEEP
Ophiocordyceps_laosensis_GMB3137	565	0.000	0.085	KEEP
Tolypocladium_ophioglossoides_iNAT_178438965	474	0.000	0.513	REMOVE
Ophiocordyceps_asiana_GMBC3023	566	0.000	0.140	KEEP
Ophiocordyceps_australis_Ophaus1780	558	0.000	0.108	KEEP
Ophiocordyceps_brunneipunctata_HKAS149958	426	0.000	0.531	REMOVE
Ophiocordyceps_cochlidiicola_520621MF432	402	0.000	0.552	REMOVE
Ophiocordyceps_halabalaensis_MY1308	448	0.000	0.540	REMOVE
Ophiocordyceps_kniphofioides_HUA_TSF790	284	0.000	0.141	KEEP
Ophiocordyceps_lanpingensis_CS96	480	0.000	0.512	REMOVE
Ophiocordyceps_macroacicularis_BCC22918	568	0.000	0.051	KEEP
Ophiocordyceps_melolonthae_iNAT_13875275	480	0.000	0.510	REMOVE
Ophiocordyceps_myrmecophila_BCC82985	450	0.000	0.518	REMOVE
Ophiocordyceps_odonatae_Liyi4844	450	0.000	0.533	REMOVE
Ophiocordyceps_robertsii_K_M_27083	493	0.000	0.513	REMOVE
ONT_203_A	242	0.000	0.219	KEEP
ONT_204_B	244	0.000	0.172	KEEP
ONT_205_A	250	0.000	0.184	KEEP
ONT_206_A	256	0.000	0.223	KEEP
Illumina_205_A	263	0.000	0.198	KEEP
Illumina_206_A	245	0.000	0.208	KEEP
Sanger_204_B	257	0.000	0.187	KEEP
Sanger_205_A	258	0.000	0.213	KEEP
Sanger_206_A	250	0.000	0.236	KEEP
