Header	SitesConsidered	N_Prop	Mismatch_Prop	Decision
Tolypocladium_capitatum_OSC71233	467	0.000	0.148	KEEP
Ophiocordyceps_agriotidis_ARSEF5692	496	0.000	0.093	KEEP
Ophiocordyceps_brunneipunctata_OSC128576	496	0.000	0.097	KEEP
Ophiocordyceps_acicularis_OSC128580	496	0.000	0.121	KEEP
Ophiocordyceps_melolonthae_OSC110993	496	0.000	0.115	KEEP
Ophiocordyceps_nutans_OSC110994	496	0.000	0.145	KEEP
Ophiocordyceps_ravenelii_OSC110995	496	0.000	0.141	KEEP
Ophiocordyceps_sphecocephala_OSC110998	496	0.000	0.167	KEEP
Ophiocordyceps_stylophora_OSC111000	496	0.000	0.121	KEEP
Ophiocordyceps_unilateralis_OSC128574	496	0.000	0.117	KEEP
Ophiocordyceps_variabilis_ARSEF5365	496	0.000	0.119	KEEP
Ophiocordyceps_irangiensis_OSC128578	496	0.000	0.179	KEEP
Ophiocordyceps_elongata_OSC110989	386	0.000	0.122	KEEP
Ophiocordyceps_entomorrhiza_KEW53484	402	0.000	0.109	KEEP
Ophiocordyceps_gracilis_EFCC3101	496	0.000	0.153	KEEP
Ophiocordyceps_heteropoda_EFCC10125	496	0.000	0.111	KEEP
Ophiocordyceps_konnoana_EFCC7315	475	0.042	0.156	KEEP
Ophiocordyceps_nigrella_EFCC9247	496	0.000	0.139	KEEP
Ophiocordyceps_rhizoidea_NHJ12529	496	0.000	0.085	KEEP
Ophiocordyceps_sinensis_EFCC7287	496	0.000	0.123	KEEP
Ophiocordyceps_sobolifera_KEW78842	492	0.000	0.091	KEEP
Ophiocordyceps_granospora_OSC128579	496	0.000	0.181	KEEP
Ophiocordyceps_spataforae_NHJ12525	496	0.000	0.181	KEEP
Ophiocordyceps_pruinosa_NHJ12994	496	0.000	0.167	KEEP
Ophiocordyceps_pulvinata_TNS_F_30044	496	0.000	0.115	KEEP
Ophiocordyceps_rubiginosiperitheciata_NBRC100946	496	0.000	0.147	KEEP
Ophiocordyceps_nutans_NBRC100944	496	0.000	0.133	KEEP
Ophiocordyceps_appendiculata_NBRC106959	496	0.000	0.127	KEEP
Tolypocladium_inflatum_MTCC557	492	0.000	0.132	KEEP
Ophiocordyceps_lanpingensis_YHOS0705	496	0.000	0.121	KEEP
Ophiocordyceps_robertsii_YHORZT007	496	0.000	0.115	KEEP
Ophiocordyceps_xuefengensis_GZUHHN13	496	0.000	0.131	KEEP
Ophiocordyceps_crinalis_GDGM17327	496	0.000	0.125	KEEP
Ophiocordyceps_australis_Ophaus926	496	0.000	0.149	KEEP
Ophiocordyceps_araracuarensis_Ophful696	496	0.000	0.099	KEEP
Ophiocordyceps_gracillisima_Ophgrc679	496	0.000	0.121	KEEP
Ophiocordyceps_ponerinarum_Ophkni790	496	0.000	0.123	KEEP
Ophiocordyceps_tiputini_Ophtip11465	496	0.000	0.089	KEEP
Ophiocordyceps_fulgoromorphila_Ophara717	496	0.000	0.181	KEEP
Ophiocordyceps_australis_Ophaus774	496	0.000	0.145	KEEP
Ophiocordyceps_ramosissimum_GZUHHN8	496	0.000	0.123	KEEP
Ophiocordyceps_formosana_TNM_F13893	496	0.000	0.107	KEEP
Tolypocladium_ophioglossoides_CBS100239	493	0.000	0.146	KEEP
Ophiocordyceps_forquignonii_OSC151902	496	0.000	0.109	KEEP
Ophiocordyceps_odonatae_TNS_F18563	496	0.000	0.143	KEEP
Ophiocordyceps_annulata_CEM303	496	0.000	0.119	KEEP
Ophiocordyceps_clavata_CEM1762	496	0.000	0.145	KEEP
Ophiocordyceps_cochlidiicola_HMAS199612	496	0.000	0.119	KEEP
Ophiocordyceps_curculionum_OSC151910	496	0.000	0.137	KEEP
Ophiocordyceps_dipterigena_OSC151911	493	0.000	0.209	KEEP
Ophiocordyceps_dipterigena_OSC151912	493	0.000	0.209	KEEP
Ophiocordyceps_formicarum_TNS_F18565	496	0.000	0.157	KEEP
Ophiocordyceps_lloydii_OSC151913	496	0.000	0.161	KEEP
Ophiocordyceps_longissima_TNS_F18448	496	0.000	0.077	KEEP
Ophiocordyceps_myrmecophila_HMAS199620	496	0.000	0.173	KEEP
Ophiocordyceps_neovolkiana_OSC151903	496	0.000	0.159	KEEP
