Header	SitesConsidered	N_Prop	Mismatch_Prop	Decision
Ophiocordyceps_tricentri_CEM160	414	0.000	0.116	KEEP
Ophiocordyceps_arborescens_NBRC105890	414	0.000	0.022	KEEP
Ophiocordyceps_macroacicularis_NBRC105888	414	0.000	0.029	KEEP
Ophiocordyceps_agriotidis_ARSEF5692	414	0.000	0.051	KEEP
Ophiocordyceps_aphodii_ARSEF5498	414	0.000	0.092	KEEP
Ophiocordyceps_brunneipunctata_OSC128576	414	0.000	0.063	KEEP
Ophiocordyceps_acicularis_OSC128580	414	0.000	0.029	KEEP
Ophiocordyceps_melolonthae_OSC110993	413	0.000	0.070	KEEP
Ophiocordyceps_nutans_OSC110994	412	0.000	0.148	KEEP
Ophiocordyceps_ravenelii_OSC110995	414	0.000	0.104	KEEP
Ophiocordyceps_sphecocephala_OSC110998	414	0.000	0.121	KEEP
Ophiocordyceps_stylophora_OSC111000	414	0.000	0.024	KEEP
Ophiocordyceps_unilateralis_s_s_OSC128574	414	0.000	0.080	KEEP
Ophiocordyceps_variabilis_ARSEF5365	414	0.000	0.060	KEEP
Ophiocordyceps_megacuculla_OSC128578	414	0.000	0.138	KEEP
Ophiocordyceps_elongata_OSC110989	414	0.000	0.036	KEEP
Ophiocordyceps_entomorrhiza_KEW53484	414	0.000	0.036	KEEP
Ophiocordyceps_gracilis_EFCC3101	413	0.000	0.065	KEEP
Ophiocordyceps_heteropoda_EFCC10125	414	0.000	0.048	KEEP
Ophiocordyceps_nigrella_EFCC9247	414	0.000	0.111	KEEP
Ophiocordyceps_rhizoidea_NHJ12529	414	0.000	0.043	KEEP
Ophiocordyceps_robertsii_KEW27083	414	0.000	0.024	KEEP
Ophiocordyceps_sinensis_EFCC7287	281	0.000	0.039	KEEP
Ophiocordyceps_sobolifera_KEW78842	414	0.000	0.039	KEEP
Ophiocordyceps_communis_NHJ12581	414	0.000	0.060	KEEP
Ophiocordyceps_granospora_OSC128579	412	0.002	0.141	KEEP
Ophiocordyceps_spataforae_NHJ12525	414	0.000	0.034	KEEP
Ophiocordyceps_pruinosa_NHJ12994	414	0.000	0.068	KEEP
Ophiocordyceps_appendiculata_NBRC106959	414	0.000	0.029	KEEP
Ophiocordyceps_nutans_NBRC100944	414	0.000	0.184	KEEP
Ophiocordyceps_nutans_NBRC101749	414	0.000	0.184	KEEP
Ophiocordyceps_rubiginosiperitheciata_NBRC100946	414	0.000	0.031	KEEP
Ophiocordyceps_lanpingensis_YHOL0705	414	0.000	0.024	KEEP
Ophiocordyceps_fulgoromorphila_HUA186139	410	0.000	0.146	KEEP
Ophiocordyceps_australis_HUA186147	414	0.000	0.128	KEEP
Ophiocordyceps_ponerinarum_HUA186140	413	0.000	0.169	KEEP
Ophiocordyceps_gracillisima_Ophgrc679	414	0.000	0.068	KEEP
Ophiocordyceps_araracuarensis_HUA186135	413	0.000	0.031	KEEP
Ophiocordyceps_evansii_HUA186159	403	0.000	0.149	KEEP
Ophiocordyceps_tiputini_QCNE186287	414	0.000	0.031	KEEP
