Header	SitesConsidered	N_Prop	Mismatch_Prop	Decision
Ophiocordyceps_arborescens_NBRC105890	617	0.000	0.086	KEEP
Ophiocordyceps_macroacicularis_NBRC105888	617	0.000	0.079	KEEP
Ophiocordyceps_appendiculata_NBRC106959	617	0.000	0.071	KEEP
Ophiocordyceps_rubiginosiperitheciata_NBRC100946	617	0.000	0.075	KEEP
Ophiocordyceps_nutans_NBRC100944	617	0.000	0.194	KEEP
Ophiocordyceps_nutans_NBRC101749	617	0.000	0.194	KEEP
Ophiocordyceps_agriotidis_ARSEF5692	617	0.000	0.075	KEEP
Ophiocordyceps_aphodii_ARSEF5498	610	0.000	0.130	KEEP
Ophiocordyceps_brunneipunctata_OSC128576	617	0.000	0.113	KEEP
Ophiocordyceps_acicularis_OSC128580	617	0.000	0.100	KEEP
Ophiocordyceps_ravenelii_OSC110995	617	0.000	0.104	KEEP
Ophiocordyceps_stylophora_OSC111000	617	0.000	0.073	KEEP
Ophiocordyceps_unilateralis_s_s_OSC128574	617	0.000	0.130	KEEP
Ophiocordyceps_variabilis_ARSEF5365	617	0.000	0.112	KEEP
Ophiocordyceps_entomorrhiza_KEW53484	617	0.000	0.102	KEEP
Ophiocordyceps_gracilis_EFCC3101	617	0.000	0.120	KEEP
Ophiocordyceps_heteropoda_EFCC10125	613	0.000	0.114	KEEP
Ophiocordyceps_konnoana_EFCC7315	616	0.002	0.119	KEEP
Ophiocordyceps_nigrella_EFCC9247	617	0.000	0.107	KEEP
Ophiocordyceps_rhizoidea_NHJ12529	617	0.000	0.079	KEEP
Ophiocordyceps_sinensis_EFCC7287	617	0.000	0.083	KEEP
Ophiocordyceps_sobolifera_KEW78842	617	0.000	0.096	KEEP
Ophiocordyceps_communis_NHJ12581	617	0.000	0.117	KEEP
Ophiocordyceps_spataforae_NHJ12525	617	0.000	0.110	KEEP
Ophiocordyceps_nutans_HMIGD20876	617	0.000	0.196	KEEP
Ophiocordyceps_crinalis_GDGM17327	407	0.000	0.514	REMOVE
Ophiocordyceps_pruinosa_NHJ12994	617	0.000	0.128	KEEP
Ophiocordyceps_lanpingensis_YHOL0705	617	0.000	0.104	KEEP
Ophiocordyceps_araracuarensis_HUA186135	614	0.000	0.205	KEEP
Ophiocordyceps_formosana_TNM_F13893	514	0.000	0.111	KEEP
Ophiocordyceps_forquignonii_OSC151902	617	0.000	0.169	KEEP
Ophiocordyceps_yakusimensis_HMAS199604	617	0.000	0.092	KEEP
Ophiocordyceps_amazonica_HUA186143	585	0.000	0.113	KEEP
Ophiocordyceps_blattarioides_HUA186093	617	0.000	0.110	KEEP
Ophiocordyceps_sp_cicada_symbiont_CatKNZ01_OP	617	0.000	0.097	KEEP
Ophiocordyceps_pauciovoperitheciata_TBRC8096	617	0.000	0.084	KEEP
Ophiocordyceps_pseudoacicularis_TBRC8101	617	0.000	0.100	KEEP
Ophiocordyceps_geometridicola_TBRC8094	617	0.000	0.078	KEEP
Ophiocordyceps_brunneanigra_TBRC8093	617	0.000	0.107	KEEP
Ophiocordyceps_multiperitheciata_BCC22861	617	0.000	0.094	KEEP
Ophiocordyceps_corriemoreau_C2014A	408	0.014	0.527	REMOVE
Ophiocordyceps_nutans_HKAS102461	617	0.000	0.177	KEEP
Ophiocordyceps_nutans_GMBC3024	617	0.000	0.177	KEEP
Ophiocordyceps_australis_HUA186147	617	0.000	0.186	KEEP
Ophiocordyceps_brunneaperitheciata_BCC49312	617	0.000	0.076	KEEP
Ophiocordyceps_camponoti_atricipis_ATRI3	551	0.007	0.151	KEEP
Ophiocordyceps_camponoti_leonardi_C36	617	0.000	0.120	KEEP
Ophiocordyceps_clavata_CEM1762	617	0.000	0.152	KEEP
Ophiocordyceps_dipterigena_CEM151911	617	0.000	0.225	KEEP
Ophiocordyceps_kniphofioides_MF90	390	0.000	0.079	KEEP
Ophiocordyceps_longissima_TNS_F18448	617	0.000	0.096	KEEP
Ophiocordyceps_pseudolloydii_Pseu1	617	0.000	0.182	KEEP
Ophiocordyceps_satoi_J19	617	0.000	0.135	KEEP
Ophiocordyceps_sphecocephala_OSC110998	617	0.000	0.203	KEEP
Ophiocordyceps_thanathonensis_MFU16_2909	617	0.000	0.172	KEEP
Ophiocordyceps_tricentri_CEM160	617	0.000	0.178	KEEP
Ophiocordyceps_xuefengensis_GZUHHN13	617	0.000	0.078	KEEP
Tolypocladium_inflatum_Outgroup	616	0.002	0.094	KEEP
Tolypocladium_ophioglossoides_Outgroup	617	0.000	0.100	KEEP
